	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	5.64570179478516e-15	2.96032985456998	0.929	0.04	1.10796897722659e-10
hsp70.3	2.36549380705318e-12	1.51457317282976	0.75	0	4.64228159634186e-08
atf3	1.56624989427193e-11	2.52047377426944	0.857	0.12	3.07376541750866e-07
serpinh1b	5.00207060735794e-11	2.6020360140801	0.893	0.22	9.81656356693996e-07
stat3	1.38297174171128e-10	1.77061333206066	1	0.62	2.71408204310838e-06
hspa5	1.61300423851623e-10	1.46453249033016	0.786	0.08	3.1655208180881e-06
ankmy1	8.32818799560825e-10	0.947532580105864	0.607	0	1.63440689413812e-05
tox	1.43045131993176e-09	-1.49414404427135	0.714	0.98	2.80726071536608e-05
ddx5	3.33856149611093e-09	-1.18497845969333	0.536	0.98	6.55192693611769e-05
cgnl1	4.23016065933628e-09	1.56263983139897	1	0.5	8.30169029394745e-05
brdt	6.60338504188218e-09	1.41097139462063	0.964	0.5	0.000129591431446938
atrx	7.79835791055074e-09	-1.55344525059889	0.571	0.94	0.000153042773994558
cbx7a	1.31564386745231e-08	0.974004791467056	0.536	0	0.000258195108987515
hspa8b	1.39212357102095e-08	1.38246963682241	0.536	0	0.000273204250812861
tpm4a	1.6012716882721e-08	1.3670159844159	0.821	0.24	0.000314249568823399
klf6a	2.35668658224443e-08	1.18442457113743	0.679	0.1	0.00046249974176547
actb1	2.67637548115016e-08	0.984058456130978	0.857	0.2	0.000525238688175719
actb2	2.75905509224869e-08	1.30146399232765	0.857	0.36	0.000541464561853804
pdcd4b	4.35521995579657e-08	1.61832109766759	0.679	0.1	0.000854711916325077
pcdh19	4.79991079350138e-08	-1.54746478562872	0.821	0.98	0.000941982493224647
pdlim1	6.73619928465213e-08	0.891996380308824	0.536	0.02	0.00132197910961298
fosl2	7.0698707160918e-08	1.32588610845605	0.571	0.04	0.00138746212803302
jun	7.28440253499753e-08	1.80228555237921	0.75	0.18	0.00142956399749326
SBNO2	7.74328754746893e-08	1.31803417878287	0.571	0.04	0.00151962018119078
CABZ01080568.1	7.85496039544826e-08	0.983342656046392	0.679	0.1	0.00154153597760672
zgc:158463	2.49859831887885e-07	1.22956039790047	1	1	0.00490349920079973
hhip	2.55146529235594e-07	-1.50136837103926	0.25	0.8	0.00500725063624853
edrf1	2.5873511756203e-07	1.15842936260448	0.786	0.22	0.00507767668215484
zgc:174888	2.86378693534422e-07	1.13606154957603	0.536	0.04	0.00562018186061304
usp2a	2.90002827558474e-07	0.918963427909094	0.5	0.02	0.00569130549083506
crema	3.24017281185479e-07	0.781006155125417	0.571	0.06	0.00635883914326502
il6st	3.61936780790522e-07	1.2350506442074	0.75	0.18	0.007103009323014
sugt1	3.73127020786339e-07	1.07935779161328	0.714	0.18	0.0073226177829319
eif3s10	4.42931837286381e-07	-1.21899384487458	0.429	0.9	0.00869253730674522
sox11a	6.10314143919723e-07	1.23610872642636	0.857	0.44	0.0119774150744246
mylk2	9.74883224539263e-07	1.18045566893448	0.5	0.04	0.019132083281583
igf2b	9.94057804725529e-07	0.971430847803229	0.464	0.02	0.0195083844177385
parp1	1.08381992570977e-06	-1.10209818761874	0.25	0.78	0.0212699660420542
smc1al	1.08521860378664e-06	-1.14839183989267	0.464	0.88	0.0212974150993128
sox13	1.08899900632623e-06	-1.77874379994008	0.5	0.86	0.0213716054991522
map7d2b	1.11102982216807e-06	0.917421263100688	0.5	0.04	0.0218039602600484
tet3	1.32156319907938e-06	-1.0106691163054	0.857	0.98	0.0259356777819329
ewsr1a	1.36752753961207e-06	-1.17271726231226	0.286	0.8	0.0268377279648869
akap12b	1.5393112382433e-06	1.05689133614242	1	0.54	0.0302089830505247
oga	1.60265709228475e-06	-1.17472598770613	0.107	0.68	0.0314521454360883
cdh11	1.73968879839419e-06	-1.66599907281206	0.214	0.76	0.034141392668486
nrarpa	3.16447678500904e-06	1.21677334883529	0.679	0.2	0.0621028569058025
jdp2b	3.67100246570917e-06	1.01870459893787	0.464	0.04	0.0720434233895424
sall4	3.67831727841843e-06	1.18163675376581	0.821	0.4	0.0721869765889617
nxn	3.81715520071105e-06	-1.4373325389692	0.571	0.88	0.0749116708139543
fosl1a	3.93165886293656e-06	1.28580866908071	0.464	0.04	0.0771588051851301
fbrsl1	4.1075662103071e-06	-1.22379924255069	0.357	0.82	0.0806109868772769
amot	4.25245712708392e-06	1.33816112174372	0.857	0.44	0.0834544711190219
elmsan1b	4.37361025123152e-06	1.22984369589665	0.714	0.22	0.0858321011804187
pde7a	5.11775193198967e-06	-1.00898878322725	0.071	0.64	0.100435881665297
slc35b1	5.29226842128578e-06	0.690650401253666	0.464	0.04	0.103860767767733
fign	5.95795285104994e-06	-1.07544255561768	0.214	0.76	0.116924824701855
afap1l2	5.96303654169279e-06	1.48655879666016	0.607	0.14	0.117024592130721
