	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
plaa	1.59056362215897e-07	-1	0	0.5	0.00312148110848699
coro2a	1.59056362215897e-07	-1	0	0.5	0.00312148110848699
slc38a11	1.59056362215897e-07	-0.584962500721156	0	0.5	0.00312148110848699
tnfsf10l	1.59729514466544e-07	-0.807354922057604	0	0.5	0.00313469172140592
rasd2	1.59729514466544e-07	-0.807354922057604	0	0.5	0.00313469172140592
ten1	1.59729514466544e-07	-0.807354922057604	0	0.5	0.00313469172140592
mpl	1.59729514466544e-07	-0.807354922057604	0	0.5	0.00313469172140592
tsga10	1.59729514466544e-07	-1.16992500144231	0	0.5	0.00313469172140592
apoc2	1.59729514466544e-07	-0.807354922057604	0	0.5	0.00313469172140592
armc2	1.59729514466544e-07	-1.4594316186373	0	0.5	0.00313469172140592
mfsd8	1.59729514466544e-07	-0.807354922057604	0	0.5	0.00313469172140592
armc3	1.59729514466544e-07	-0.807354922057604	0	0.5	0.00313469172140592
si:dkey-57c15.1	1.59729514466544e-07	-0.807354922057604	0	0.5	0.00313469172140592
zgc:56525	2.41681624424884e-07	-1.33390073655344	0.091	1	0.00474300187933835
drc1	4.27135470293552e-07	-1.75582462141752	0.036	0.75	0.00838253360451096
odc1	5.54312919352588e-07	-2.39433659041541	0.109	1	0.0108783910422945
wdr34	5.89428061089075e-07	-1.53343220008107	0.036	0.75	0.0115675256988731
arrdc3a	8.75413469262626e-07	-1.48179943166575	0.091	1	0.017179989334279
pou2f1b	1.32357995857919e-05	-1.52262544512449	0.182	1	0.259752566871165
gnaia	1.44237772475964e-05	-1.32192809488736	0.145	1	0.283066628484079
ankrd54	1.61724242372785e-05	-1.02054737740409	0.055	0.75	0.317383825656591
si:zfos-943e10.1	1.96402863557565e-05	-1.57490883605723	0.073	0.75	0.385440619731721
znf1119	2.26113984912477e-05	-0.974004791467056	0.018	0.5	0.443748695390736
ccdc28a	2.26113984912477e-05	-0.974004791467056	0.018	0.5	0.443748695390736
pax9	2.26113984912477e-05	-0.974004791467056	0.018	0.5	0.443748695390736
cfap99	2.26113984912477e-05	-0.974004791467056	0.018	0.5	0.443748695390736
gstp1	2.26113984912477e-05	-0.974004791467056	0.018	0.5	0.443748695390736
si:ch211-274p24.2	2.26113984912477e-05	-0.974004791467056	0.018	0.5	0.443748695390736
ccdc24	2.26544439277008e-05	-1.67444450960815	0.018	0.5	0.444593462081129
neu1	2.26544439277008e-05	-1.29593288635442	0.018	0.5	0.444593462081129
cyp20a1	2.69512070897682e-05	-0.974004791467056	0.018	0.5	0.5289174391367
si:ch211-113g11.6	2.69512070897682e-05	-0.78135971352466	0.018	0.5	0.5289174391367
adgb	2.69512070897682e-05	-0.78135971352466	0.018	0.5	0.5289174391367
ndufa7	2.69512070897682e-05	-0.78135971352466	0.018	0.5	0.5289174391367
sh3bp5a	2.69512070897682e-05	-1.40790131799722	0.018	0.5	0.5289174391367
cdh4	2.69512070897682e-05	-0.78135971352466	0.018	0.5	0.5289174391367
sod1	2.69512070897682e-05	-0.78135971352466	0.018	0.5	0.5289174391367
cdc34a	2.69512070897682e-05	-0.78135971352466	0.018	0.5	0.5289174391367
zgc:173720	3.18996030934754e-05	-0.558967292188212	0.018	0.5	0.626029710709455
atp6v1aa	3.18996030934754e-05	-0.558967292188212	0.018	0.5	0.626029710709455
fam189a2	3.18996030934754e-05	-0.948469699359918	0.018	0.5	0.626029710709455
zmp:0000001003	3.18996030934754e-05	-0.558967292188212	0.018	0.5	0.626029710709455
krt8	3.18996030934754e-05	-0.558967292188212	0.018	0.5	0.626029710709455
hbegfb	3.18996030934754e-05	-0.558967292188212	0.018	0.5	0.626029710709455
tbc1d22b	3.53646034644275e-05	-1.1963972128035	0.073	0.75	0.694030342989391
BX530097.1	3.81175905077259e-05	-0.755824621417522	0.018	0.5	0.748057713714122
CR626874.1	3.81175905077259e-05	-0.755824621417522	0.018	0.5	0.748057713714122
znf281a	3.86755353751697e-05	-1.82200169802201	0.218	1	0.759007381737706
rhof	4.53096605983651e-05	-0.730733640454692	0.018	0.5	0.889202089242914
znf281b	5.19101022007561e-05	-2.29197487278573	0.236	1	1
cd99l2	5.38728621481786e-05	-1.23703919730085	0.164	1	1
fscn1a	5.57649467788361e-05	-1.55106209410287	0.091	0.75	1
rac1a	5.87621368045321e-05	-1.5385031896285	0.236	1	1
adipor1a	6.91016985012329e-05	-1.31005399459907	0.091	0.75	1
znf592	9.35617367934067e-05	-1.1963972128035	0.091	0.75	1
susd6	9.51990362060883e-05	-1.3890422907459	0.091	0.75	1
lpcat1	0.000116326690202352	-1.61143471208235	0.091	0.75	1
cdca4	0.000119536579533577	-1.71907543527032	0.236	1	1
C3H16orf72	0.000137457350228364	-1.17255047084914	0.109	0.75	1
usf2	0.000169290262671046	-1.61143471208235	0.109	0.75	1
abcf2a	0.000175327440131544	-1.76146015608695	0.236	1	1
ddx5	0.000220508901696128	-2.17869521107004	0.309	1	1
nucks1b	0.000226333406845586	-1.62935662007961	0.327	1	1
phf20l1	0.000242183215200494	-1.02054737740409	0.109	0.75	1
st8sia2	0.000242183215200494	-1.02054737740409	0.109	0.75	1
mrpl28	0.000242183215200494	-1.02054737740409	0.109	0.75	1
ccnd2b	0.000271919711767937	-0.321928094887362	0	0.25	1
phyh	0.000271919711767937	-0.321928094887362	0	0.25	1
cradd	0.000271919711767937	-0.807354922057604	0	0.25	1
si:dkey-199m13.4	0.000271919711767937	-0.321928094887362	0	0.25	1
si:dkey-237m9.2	0.000271919711767937	-0.321928094887362	0	0.25	1
znf1110	0.000271919711767937	-0.321928094887362	0	0.25	1
znf1047.1	0.000271919711767937	-0.321928094887362	0	0.25	1
si:dkey-26i24.1	0.000271919711767937	-0.321928094887362	0	0.25	1
si:dkey-14o6.4	0.000271919711767937	-0.321928094887362	0	0.25	1
znf1009	0.000271919711767937	-0.807354922057604	0	0.25	1
htr2cl1	0.000271919711767937	-0.321928094887362	0	0.25	1
slc7a8a	0.000271919711767937	-0.321928094887362	0	0.25	1
znf710b	0.000271919711767937	-0.321928094887362	0	0.25	1
si:ch211-194p6.7	0.000271919711767937	-0.584962500721156	0	0.25	1
itga11a	0.000271919711767937	-0.321928094887362	0	0.25	1
lrp3	0.000271919711767937	-0.321928094887362	0	0.25	1
acp2	0.000271919711767937	-0.321928094887362	0	0.25	1
rnf32	0.000271919711767937	-0.584962500721156	0	0.25	1
rassf7b	0.000271919711767937	-1	0	0.25	1
ankrd46b	0.000271919711767937	-0.321928094887362	0	0.25	1
ist1	0.000271919711767937	-0.321928094887362	0	0.25	1
tbc1d19	0.000271919711767937	-0.321928094887362	0	0.25	1
gba3	0.000271919711767937	-0.321928094887362	0	0.25	1
ccdc149a	0.000271919711767937	-0.321928094887362	0	0.25	1
LO018380.1	0.000271919711767937	-0.321928094887362	0	0.25	1
lrrc74b	0.000271919711767937	-0.584962500721156	0	0.25	1
fam219ab	0.000271919711767937	-0.321928094887362	0	0.25	1
whrnb	0.000271919711767937	-0.584962500721156	0	0.25	1
sh3glb2b	0.000271919711767937	-0.321928094887362	0	0.25	1
dlb	0.000271919711767937	-1	0	0.25	1
cfap299	0.000271919711767937	-0.584962500721156	0	0.25	1
wdr66	0.000271919711767937	-1.16992500144231	0	0.25	1
doc2b	0.000271919711767937	-0.321928094887362	0	0.25	1
sox10	0.000271919711767937	-0.584962500721156	0	0.25	1
CABZ01058333.1	0.000271919711767937	-0.321928094887362	0	0.25	1
glis2b	0.000271919711767937	-0.321928094887362	0	0.25	1
baiap2l2a	0.000271919711767937	-0.584962500721156	0	0.25	1
mgat3a	0.000271919711767937	-0.584962500721156	0	0.25	1
aldh16a1	0.000271919711767937	-0.321928094887362	0	0.25	1
gper1	0.000271919711767937	-0.321928094887362	0	0.25	1
cyth1a	0.000271919711767937	-0.321928094887362	0	0.25	1
si:ch211-189a21.1	0.000271919711767937	-0.807354922057604	0	0.25	1
CR759836.1	0.000271919711767937	-0.584962500721156	0	0.25	1
foxj1a	0.000271919711767937	-1.16992500144231	0	0.25	1
pxmp4	0.000271919711767937	-0.584962500721156	0	0.25	1
myh9a	0.000271919711767937	-0.584962500721156	0	0.25	1
cfap52	0.000271919711767937	-0.584962500721156	0	0.25	1
si:ch211-241e1.3	0.000271919711767937	-0.321928094887362	0	0.25	1
parla	0.000271919711767937	-0.321928094887362	0	0.25	1
zgc:153615	0.000271919711767937	-0.584962500721156	0	0.25	1
scinlb	0.000271919711767937	-0.807354922057604	0	0.25	1
cryz	0.000271919711767937	-0.321928094887362	0	0.25	1
tctex1d1	0.000271919711767937	-0.584962500721156	0	0.25	1
pip4k2ab	0.000271919711767937	-0.321928094887362	0	0.25	1
slc7a14a	0.000271919711767937	-1.16992500144231	0	0.25	1
si:dkeyp-9d4.4	0.000271919711767937	-0.321928094887362	0	0.25	1
BX569798.1	0.000271919711767937	-0.321928094887362	0	0.25	1
dctpp1	0.000271919711767937	-0.584962500721156	0	0.25	1
gucy1b1	0.000271919711767937	-0.321928094887362	0	0.25	1
si:dkey-29d5.1	0.000271919711767937	-0.584962500721156	0	0.25	1
nt5c2b	0.000271919711767937	-0.584962500721156	0	0.25	1
prmt9	0.000271919711767937	-0.321928094887362	0	0.25	1
atg4da	0.000271919711767937	-0.584962500721156	0	0.25	1
map4k4	0.000271919711767937	-0.321928094887362	0	0.25	1
scrn3	0.000271919711767937	-0.321928094887362	0	0.25	1
ACVR1C	0.000271919711767937	-0.321928094887362	0	0.25	1
mitd1	0.000271919711767937	-0.584962500721156	0	0.25	1
armc8	0.000271919711767937	-0.321928094887362	0	0.25	1
sept10	0.000271919711767937	-0.321928094887362	0	0.25	1
adcy2a	0.000271919711767937	-0.321928094887362	0	0.25	1
cxcr3.3	0.000271919711767937	-0.321928094887362	0	0.25	1
ensab	0.000271919711767937	-0.321928094887362	0	0.25	1
si:dkey-242e21.3	0.000271919711767937	-0.321928094887362	0	0.25	1
zgc:101716	0.000271919711767937	-0.321928094887362	0	0.25	1
spint1b	0.000271919711767937	-0.321928094887362	0	0.25	1
sgcb	0.000271919711767937	-0.584962500721156	0	0.25	1
cyp2p6	0.000271919711767937	-0.321928094887362	0	0.25	1
itpkb	0.000271919711767937	-0.321928094887362	0	0.25	1
si:dkeyp-104f11.6	0.000271919711767937	-0.321928094887362	0	0.25	1
actr10	0.000271919711767937	-0.321928094887362	0	0.25	1
armh1	0.000271919711767937	-0.321928094887362	0	0.25	1
ampd2b	0.000271919711767937	-0.584962500721156	0	0.25	1
ogg1	0.000271919711767937	-0.807354922057604	0	0.25	1
zgc:77112	0.000271919711767937	-0.321928094887362	0	0.25	1
SLC25A29	0.000271919711767937	-0.584962500721156	0	0.25	1
khk	0.000271919711767937	-0.321928094887362	0	0.25	1
tmem26a	0.000271919711767937	-0.321928094887362	0	0.25	1
AL844186.1	0.000271919711767937	-0.321928094887362	0	0.25	1
si:ch211-139d20.3	0.000271919711767937	-0.321928094887362	0	0.25	1
asxl2	0.000271919711767937	-0.321928094887362	0	0.25	1
mbip	0.000271919711767937	-0.321928094887362	0	0.25	1
slc25a48	0.000271919711767937	-0.584962500721156	0	0.25	1
bbs7	0.000271919711767937	-0.807354922057604	0	0.25	1
lgi1a	0.000271919711767937	-0.321928094887362	0	0.25	1
