	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
uba52	0.0395982744062463	-0.323304868791974	0.438	0.663	1
wdr36	0.0396617594187903	-0.38395246914928	0.406	0.59	1
foxo3b	0.0398262793720297	0.27774222999201	0.188	0.06	1
pole	0.0400676764020306	-0.367162811185428	0.406	0.602	1
cltca	0.0400770113511034	-0.337158257670339	0.344	0.554	1
zgc:123010	0.0403567211591642	-0.315856514123297	0.094	0.265	1
cast	0.0406791956293086	-0.314259729188967	0.188	0.386	1
atxn7	0.0408609912733004	-0.440220688796025	0.438	0.614	1
dzip1	0.0409370396023995	-0.289776377063446	0.219	0.434	1
rack1	0.0410897556270265	0.327733716568568	0.719	0.59	1
tenm3	0.0413130514080454	-0.548878175822247	0.594	0.735	1
si:ch73-22o12.1	0.0413154415592284	-0.401454527005919	0.344	0.566	1
trnau1apb	0.0413469027351673	-0.317636886674485	0.25	0.47	1
eif4a1a	0.0413615490438121	-0.343778816109022	0.344	0.542	1
htt	0.0413802987591598	-0.402568147316627	0.25	0.446	1
gpc4	0.0414108317355447	0.323044793708663	0.75	0.723	1
tmem161b	0.0415016646513977	-0.303032473765713	0.094	0.265	1
pkp4	0.0415024441324636	-0.315856514123297	0.094	0.265	1
cdc42bpab	0.0416093898149415	-0.337678616572604	0.125	0.301	1
nudt4a	0.0416124869156492	-0.2688167584278	0	0.12	1
cpa6	0.0416226028231474	-0.352881023216275	0	0.12	1
polr1e	0.041675655650735	-0.303032473765713	0.062	0.229	1
prpf6	0.0418640466109077	-0.330675228834842	0.188	0.398	1
smc1al	0.0419202024217789	-0.402568147316627	0.625	0.783	1
zgc:171772	0.0419224974281504	-0.279185731811345	0.5	0.699	1
cad	0.0420740924578565	-0.550959987209298	0.312	0.47	1
sema4bb	0.0421819186520926	-0.270295687353713	0.156	0.361	1
foxp4	0.0422166108909287	-0.409231877597638	0.938	0.952	1
nus1	0.042252451740953	0.314157189199902	0.469	0.277	1
hmgb3a	0.042354690196493	-0.31954756054873	0.156	0.349	1
coro1ca	0.0423998133712731	0.432264300039875	0.688	0.578	1
cdc14ab	0.042620971302819	-0.353414662963764	0.344	0.602	1
cwc27	0.0426367026052339	-0.394347640511659	0.25	0.458	1
aif1l	0.0426509302977684	-0.263861876485035	0.094	0.265	1
rabep1	0.0426556977439365	-0.315856514123297	0.094	0.265	1
spsb1	0.0426556977439365	-0.277037265232768	0.094	0.265	1
ncbp3	0.0426556977439365	-0.277037265232768	0.094	0.265	1
dpysl5a	0.0427158023349108	-0.404191889796291	0.125	0.301	1
gli2a	0.0429029598868873	-0.398910280784135	0.875	0.988	1
ubald1a	0.0429582857289398	0.346470279150154	0.375	0.193	1
zmym2	0.0431198716002001	-0.396691580979958	0.25	0.434	1
taf6	0.0431893556895908	-0.316275050546565	0.375	0.651	1
cep152	0.0432630531370289	-0.365440646995518	0.219	0.422	1
h2ax1	0.04349693522324	0.699041854472146	0.562	0.446	1
srsf6b	0.0436794231401447	-0.332779817159765	0.281	0.494	1
eif3eb	0.0438207135777696	-0.250565053871577	0.094	0.265	1
tgfbr1a	0.0438231429967704	-0.263861876485035	0.094	0.265	1
zc3h15	0.0438231429967704	-0.263861876485035	0.094	0.265	1
gria3b	0.0438294478661626	-0.273698979807546	0.219	0.458	1
rcc2	0.0439259216142619	-0.365201294852142	0.281	0.482	1
hmgn6	0.0439630402261209	-0.347426593124166	0.406	0.59	1
csde1	0.0440157488831517	-0.378942139834883	0.594	0.759	1
tsr1	0.0440528289653876	-0.293754660177702	0.219	0.41	1
enah	0.0444149471177502	-0.361926162819281	0.438	0.651	1
slc43a1a	0.0445948697208796	-0.286158655201317	0.219	0.422	1
naa38	0.0446253480823568	-0.275214529625951	0.125	0.301	1
palm1b	0.0446683220932187	-0.310324966332069	0.094	0.277	1
DOCK4	0.0447252384162255	-0.37703305520949	0.156	0.337	1
cbsb	0.0447636323241087	-0.250565053871577	0.062	0.229	1
nemp2	0.0447636323241087	-0.250565053871577	0.062	0.229	1
ddx51	0.0447639948703473	-0.409231877597638	0.125	0.289	1
anapc1	0.0448876785435187	-0.350785605214081	0.562	0.747	1
megf8	0.0449293350036075	-0.300831565572442	0.25	0.446	1
cenpj	0.0449996017528264	-0.250565053871577	0.094	0.265	1
chl1a	0.0450090224809277	-0.879381844182161	0.719	0.735	1
znf1115.1	0.045221827939894	0.259562213926989	0.219	0.084	1
tnpo2	0.0458086097267608	-0.381983815160535	0.438	0.59	1
hirip3	0.0458354746391713	-0.402568147316627	0.281	0.458	1
cdc73	0.0459401661252591	-0.375731962344312	0.438	0.614	1
itpk1b	0.0461902480216016	-0.437333565477304	0.25	0.422	1
prr12b	0.046232283649743	-0.29791955037206	0.344	0.566	1
mybl2b	0.0465175249841551	-0.336455475303163	0.219	0.41	1
rfx2	0.0466217290343128	0.420522201140933	0.906	0.831	1
ulk1b	0.0466938561612992	0.29560496385252	0.406	0.217	1
mybbp1a	0.0467115736167258	-0.365201294852142	0.312	0.482	1
unc5b	0.046914837461705	-0.578166357174134	0.25	0.446	1
arhgef6	0.0470910448665582	0.387317761125361	0.5	0.337	1
dchs1b	0.0471325075441757	-0.365717741981656	0.156	0.337	1
kat5b	0.0471803398325031	-0.265418181965935	0.062	0.217	1
efr3ba	0.0471903833413018	-0.278964713803883	0.062	0.217	1
ctso	0.0471903833413018	-0.278964713803883	0.062	0.217	1
brip1	0.047258389536138	-0.423326707483425	0.281	0.482	1
dock3	0.047346342631537	0.500570313430784	0.594	0.494	1
slc36a1	0.0477277238292482	-0.358021708363365	0.125	0.301	1
mef2cb	0.0477758161226035	-0.33545395145809	0.031	0.169	1
cdyl	0.0477977624241327	-0.273488198151698	0.156	0.337	1
dnajb6a	0.0480918098911122	0.269244767324328	0.312	0.157	1
si:dkey-57a22.11	0.0481329613961369	-0.251743245068858	0.062	0.217	1
vps53	0.0481329613961369	-0.251743245068858	0.062	0.217	1
pdss2	0.0481390694737402	-0.265418181965935	0.062	0.217	1
acvr1ba	0.0481390694737402	-0.265418181965935	0.062	0.217	1
sh3bp4a	0.0481689609676002	0.387530375530122	0.438	0.277	1
mical3a	0.0482881046756285	-0.333911786649685	0.438	0.627	1
zufsp	0.0483145449684426	-0.26706697647784	0.031	0.169	1
slc25a25b	0.0483494854083618	-0.308486903857821	0.031	0.169	1
rif1	0.0484430508724078	-0.358567150729367	0.312	0.482	1
rpl35	0.0485509165592082	0.298077449532041	0.656	0.518	1
cnksr3	0.0486948401714593	-0.361926162819281	0.531	0.723	1
si:dkey-205h13.1	0.0487365107296896	0.28964794011628	0.156	0.048	1
umad1	0.0488311192462828	0.252182683561391	0.312	0.157	1
slmapa	0.0488963478927842	-0.388893210419551	0.469	0.639	1
cdc42ep4a	0.0489056058807901	-0.308486903857821	0.031	0.169	1
WDR70	0.0490819777844232	-0.278964713803883	0.062	0.217	1
gins2	0.0490850728883091	-0.251743245068858	0.062	0.217	1
l3mbtl2	0.0490850728883091	-0.265418181965935	0.062	0.217	1
grpel2	0.0490850728883091	-0.265418181965935	0.062	0.217	1
LO016987.1	0.0490850728883091	-0.265418181965935	0.062	0.217	1
trabd	0.0494489449927105	-0.252991791266117	0.031	0.169	1
sms	0.04945157279261	-0.26706697647784	0.031	0.169	1
ccny	0.0494528867023468	-0.294811966960744	0.031	0.169	1
sap130a	0.0497551657032488	-0.260997253968501	0.156	0.337	1
kif13ba	0.049829662145231	-0.252048545046908	0.25	0.47	1
cdca7a	0.0499294107727022	-0.476861929663941	0.219	0.398	1
si:dkey-28i19.1	0.049937260224853	-0.322397798632644	0.125	0.301	1
znf1148	0.0499870760465705	-0.252991791266117	0.031	0.169	1
si:ch1073-396h14.1	0.0500278562763323	-0.265418181965935	0.062	0.217	1
gnb1a	0.050081256603067	-0.304871473429494	0.312	0.53	1
UBE2O	0.0505156625607697	0.262145374940991	0.25	0.108	1
srsf7a	0.0508008776569837	-0.252048545046908	0.25	0.47	1
sass6	0.0508145926255145	-0.365717741981656	0.188	0.361	1
psma3	0.0508501264063214	-0.382390265378997	0.281	0.446	1
rpl17	0.050856878583233	0.27550375779601	0.75	0.53	1
micu1	0.0508828521088279	-0.341167602652484	0.094	0.253	1
adamts3	0.0511177800327088	-0.411556930543882	0.188	0.373	1
tbc1d4	0.0511554264606487	-0.275214529625951	0.094	0.265	1
srcap	0.0512395759715966	-0.320567133058224	0.281	0.482	1
tbc1d22b	0.0513792962400109	-0.325400286794167	0.25	0.446	1
fam107b	0.0517749745481159	-0.328243036562993	0.125	0.313	1
mad2l1bp	0.0518404141261986	-0.325400286794167	0.125	0.289	1
plch1	0.0521033482498051	-0.297575751409224	0.875	0.988	1
zfyve16	0.0521359927726212	-0.33437044029872	0.156	0.325	1
nop2	0.0521426037421494	-0.358314909266902	0.188	0.373	1
shc1	0.0521518329917652	-0.369703513411001	0.156	0.325	1
eftud2	0.0527005961595229	-0.273488198151698	0.125	0.301	1
msh3	0.0533099027521167	-0.307770392772376	0.188	0.361	1
stim2b	0.0533927715864976	-0.283923650818008	0.125	0.301	1
thada	0.0535133414596843	-0.31954756054873	0.156	0.337	1
hgsnat	0.0536860695997037	-0.287925581375505	0.125	0.289	1
LO016987.2	0.0537239631278858	-0.337678616572604	0.125	0.289	1
shmt1	0.0538017336084853	-0.303032473765713	0.094	0.253	1
unga	0.0538036246853658	-0.32856756587285	0.094	0.253	1
zmp:0000000936	0.0539780795581742	-0.510318002711952	0.094	0.253	1
tbc1d31	0.0543590635890462	-0.298150252385967	0.156	0.325	1
pax7b	0.0544535774371604	-0.366427555054222	0	0.108	1
phip	0.0544548395622548	-0.301761936439308	0.625	0.735	1
ap2a1	0.0546141396474968	-0.320567133058224	0.312	0.518	1
epha2b	0.0546357372511915	0.363984242837929	0.375	0.217	1
fam193b	0.0546530412519059	-0.284470022739285	0.281	0.482	1
espl1	0.0547662933523738	-0.371512211648479	0.281	0.47	1
pabpc1a	0.0548801066647213	0.319054821569754	0.938	0.88	1
rbm33a	0.0550943093075127	-0.325400286794167	0.219	0.422	1
lifra	0.0552880949889697	-0.303032473765713	0.094	0.253	1
C17H15orf41	0.0552926135730802	-0.271850818517433	0.125	0.301	1
ier5	0.0554484982542923	0.317092082137645	0.5	0.337	1
fbxw4	0.0556323054062507	-0.373898804485357	0.125	0.289	1
dtl	0.0556462748962438	-0.367464346360712	0.281	0.506	1
msi1	0.0556808898668907	-0.267570728374047	0.875	0.964	1
brwd1	0.0558978611228909	-0.356764457703503	0.5	0.663	1
slkb	0.0559040930293942	-0.295896292484084	0.188	0.361	1
ppm1bb	0.0560434696975098	-0.312021256992968	0.344	0.53	1
ccnd1	0.0560501425167896	0.359329348258263	0.906	0.831	1
nat8l	0.0560604973212696	0.316622745121603	0.812	0.711	1
pa2g4a	0.0561011222149375	-0.354312978709406	0.188	0.349	1
ubqln4	0.0562007522027515	0.363262263570571	0.469	0.325	1
zgc:171490	0.0562156671397535	-0.369703513411001	0.156	0.313	1
ccdc6b	0.0563693937830866	-0.271323614038375	0.281	0.494	1
eif4g1a	0.0563901752079387	-0.392787126524042	0.625	0.831	1
cluha	0.0567890995858696	-0.290093418058215	0.094	0.253	1
slc38a4	0.0568550103422102	0.321268174905944	0.688	0.494	1
clgn	0.0570767636308723	-0.296727896911504	0.25	0.446	1
fxyd6l	0.0572467214107098	-0.396691580979958	0.25	0.422	1
bmb	0.0573413500014862	0.293509545850326	0.219	0.096	1
KIF2A	0.0575751229748531	-0.287925581375505	0.125	0.289	1
col27a1b	0.0575772630696657	-0.350785605214081	0.125	0.301	1
immp2l	0.0583014935887474	-0.579156879039951	0.188	0.349	1
upf1	0.0586737069195884	-0.316122473206157	0.406	0.59	1
capn15	0.0586944693323976	-0.33437044029872	0.156	0.313	1
tasora	0.058757958094609	-0.358021708363365	0.156	0.313	1
camsap1b	0.0589638582642803	-0.342817339871577	0.188	0.349	1
gle1	0.0590144109660113	-0.28587192260753	0.156	0.325	1
cd3eap	0.0590144109660113	-0.28587192260753	0.156	0.325	1
ccdc88c	0.0592143382334211	-0.327160744658605	0.562	0.735	1
usp54b	0.0592432216993926	-0.28587192260753	0.094	0.265	1
rfc1	0.0595232907970211	-0.287925581375504	0.25	0.434	1
si:ch211-286o17.1	0.0595543802258947	-0.590898732579442	0.625	0.735	1
bnip2	0.0595594194939892	-0.275214529625951	0.125	0.289	1
e2f7	0.0600542517558905	-0.287925581375505	0.094	0.253	1
git2a	0.0600738120381994	-0.278964713803883	0.062	0.205	1
ap1ar	0.0600738120381994	-0.278964713803883	0.062	0.205	1
stau2	0.0609572754574103	-0.270852068016563	0.594	0.855	1
fnbp1l	0.0611759575193873	-0.409231877597638	0.312	0.518	1
kdm5c	0.0612290408871266	-0.316275050546565	0.562	0.735	1
rreb1a	0.0612754572357917	-0.284470022739285	0.25	0.434	1
chfr	0.0613093786418241	-0.292385229566204	0.062	0.205	1
med14	0.061431798375787	-0.260997253968501	0.156	0.325	1
brd8	0.0616261109956409	-0.385290155884792	0.344	0.53	1
MAP3K13	0.0617745376791049	-0.275214529625951	0.094	0.253	1
dnajc7	0.0617846836687057	-0.26478500440875	0.219	0.41	1
nrf1	0.061839043046011	-0.365440646995518	0.25	0.422	1
gpatch4	0.0619657958000083	-0.349853330518706	0.125	0.277	1
rpl18	0.0623037259275789	-0.301665638001807	0.594	0.747	1
avl9	0.0623872021683712	-0.28587192260753	0.125	0.289	1
cab39	0.0625319729047211	-0.265418181965935	0.062	0.205	1
