	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	5.82384606317332e-21	2.32695575960886	0.958	0.09	1.14292978989777e-16
epha4a	1.61540657725513e-19	-2.23159135818291	0.896	1	3.1702354078632e-15
serpinh1b	1.69270061644507e-19	2.39238247790654	0.979	0.239	3.32192495977345e-15
atf3	1.10877504550886e-18	2.14855135064975	0.833	0.015	2.17597102681113e-14
stat3	1.07969250831593e-17	2.15783175908535	0.979	0.522	2.11889654757e-13
adgrl2a	5.60639315364171e-16	-1.72856586930097	0.854	1	1.10025465640219e-11
greb1l	2.14478795965903e-15	-1.89969509420431	0.708	1	4.20914637083084e-11
jarid2b	6.51338844799045e-15	-1.50723860977998	0.938	1	1.27825248291813e-10
hivep2a	1.56934986285992e-14	1.3949700459869	0.708	0.03	3.07984910586259e-10
jun	1.35963336356647e-13	1.02974734339405	0.625	0	2.6682804759992e-09
hspa5	3.56151983263559e-13	1.34462468983175	0.708	0.075	6.98948267154735e-09
zbtb16a	5.19821159488367e-13	-1.34966603185507	0.979	1	1.02014902549592e-08
ror1	1.20882781258109e-12	-1.58262573149472	0.396	0.925	2.37232458219038e-08
NAV1	1.54025694121873e-12	-1.54240882472417	0.5	0.881	3.02275424714176e-08
crb2a	2.03781824516756e-12	1.59024841211673	0.646	0.045	3.99921830614133e-08
ipo7	3.44875999825737e-12	-1.15589746655568	0.75	1	6.7681914965801e-08
tox	4.33944096481875e-12	-1.35660188136451	0.521	0.955	8.5161528934568e-08
zeb1b	4.66497776433029e-12	-1.57776699931695	0.688	0.925	9.1550188624982e-08
ankmy1	4.85620559851806e-12	1.14295795384204	0.562	0	9.53030348709169e-08
atrx	8.08381486473979e-12	-1.20386462931581	0.688	0.985	1.58644866720518e-07
ube2e3	1.37914681843337e-11	-1.26482768765684	0.562	0.97	2.70657563117549e-07
tpm4a	2.31068882411068e-11	1.24011859023282	0.854	0.299	4.5347268173172e-07
klf6a	2.51805001122498e-11	1.22203946841949	0.646	0.075	4.94167314702903e-07
oga	3.7288965898122e-11	-1.2709457968198	0.104	0.761	7.31795955750645e-07
pax7b	4.32975484118411e-11	-2.02687382916966	0.312	0.806	8.49714387582381e-07
ctnnd2b	5.57486352089934e-11	-1.20692930394864	0.604	0.985	1.09406696597649e-06
jak1	7.62460959722295e-11	1.54654976473466	0.812	0.299	1.496329633455e-06
tiam1a	8.50842629271805e-11	-1.32883472813547	0.438	0.881	1.66977865994592e-06
fosab	1.02457110538966e-10	0.930929607176136	0.688	0.09	2.0107207943272e-06
bmpr1ba	2.08348391550385e-10	-1.29784643095117	0.438	0.91	4.08883718417631e-06
angptl4	3.35743364808952e-10	1.05228339093274	0.562	0.045	6.58896353437569e-06
matn3a	3.81240559957476e-10	0.857980995127572	0.479	0	7.48184598916547e-06
timp2b	3.98519701871989e-10	1.78229622445718	0.833	0.299	7.82094914923778e-06
SBNO2	7.60887424621543e-10	1.03081371571024	0.521	0.03	1.49324157081978e-05
nhsl1b	8.44632495872348e-10	-1.20628307995536	0.438	0.866	1.65759127314948e-05
letm1	1.22682062472097e-09	-1.24133933473447	0.438	0.851	2.40763547601491e-05
il11ra	1.39137772533991e-09	-1.07635507456243	0.062	0.642	2.73057878597958e-05
her15.1	1.66451136563836e-09	-1.15274541146549	0.333	0.821	3.26660355506528e-05
midn	1.75295457094222e-09	-1.11758896605187	0.854	0.985	3.44017334547411e-05
ephb4a	1.81407816871423e-09	-1.37087214737583	0.542	0.91	3.56012840610168e-05
pdcd4b	2.06627004241648e-09	0.920658750936209	0.583	0.075	4.05505495824234e-05
junbb	2.88200173047665e-09	0.781993169096149	0.5	0.03	5.65592839606043e-05
hnrnpa1a	3.08512934712836e-09	-1.06856033623701	0.312	0.806	6.0545663437394e-05
s1pr2	3.10149354669215e-09	-1.42867550129181	0.208	0.731	6.08668108538334e-05
scube2	3.44952876093696e-09	-1.20619752861422	0.271	0.791	6.76970019333879e-05
sema3fb	3.5611973703552e-09	-1.22127241352284	0.896	0.955	6.98884983932209e-05
puf60a	3.824538288382e-09	-1.01510689239021	0.604	0.881	7.50565639094968e-05
gabrb3	5.64670890444261e-09	-1.36546339560409	0.146	0.672	0.000110816662249686
junba	6.25182691602893e-09	1.00307939293197	0.625	0.134	0.000122692103227068
nrarpa	7.36603728968011e-09	1.06608919045777	0.688	0.179	0.000144558481809972
rerea	7.7218960030505e-09	-1.13327958887702	0.5	0.881	0.000151542209059866
eif4g3b	9.20760770543588e-09	-0.947716609067258	0.208	0.776	0.000180699301219179
