	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
chd7	6.76424501708332e-08	-0.912241494225439	0.682	0.967	0.0013274830846026
col4a6	7.07408886210993e-08	-0.962925345586566	0.932	1	0.00138828993918907
jun	7.6752897549713e-08	0.859576308641647	0.568	0.082	0.00150627561441312
lrrn1	8.92006286023607e-08	0.70012440942147	0.5	0.049	0.00175056233632133
plekhh1	1.05285898717059e-07	0.920206670070717	1	0.852	0.00206623576232228
hoxa4a	1.3367550454712e-07	1.16837858596828	0.523	0.082	0.00262338177673724
rarab	1.59324205817659e-07	-1.03212689629897	0.614	0.918	0.00312673753917156
ilf3b	1.65925927864834e-07	-0.962925345586566	0.477	0.918	0.00325629633434736
tmem63ba	1.71744839186625e-07	-0.850622375961773	0.182	0.672	0.00337049246903752
sulf1	1.76350885295181e-07	-1.16428285486554	0.159	0.672	0.00346088612391793
eif4g3b	1.92193340034424e-07	-0.988125899711708	0.318	0.754	0.00377179429817557
s1pr2	2.02581252459964e-07	-0.990142245310213	0.227	0.77	0.0039756570795268
hs3st3b1b	2.10282162430384e-07	-1.4156460296296	0.614	0.902	0.00412678743769629
arl5c	2.35898481900882e-07	0.719233232369174	0.455	0.033	0.00462950770730481
ints8	2.68671047385971e-07	-1.05594128393928	0.795	0.918	0.00527266930494967
nhsb	2.72300738319238e-07	-0.894822179872308	0.023	0.492	0.00534390198951504
eef2b	2.82219003996074e-07	-0.909204097224984	0.818	0.934	0.00553854795342296
nrxn3a	2.87150322323641e-07	0.726562774167663	0.409	0.016	0.00563532507560146
elf1	2.95146100087042e-07	0.806489910515218	0.5	0.066	0.00579224221420821
C7H16orf87	3.03763382827249e-07	0.881181513088654	0.591	0.148	0.00596135638798476
sox6	3.14125902635774e-07	0.901293559670404	0.614	0.148	0.00616472083922707
rgs3b	3.15034371005122e-07	-0.738147646703361	0.045	0.541	0.00618254953097552
meis2a.1	3.32407489187518e-07	0.744324213332005	0.614	0.131	0.00652349697530505
col12a1a	3.40779729142855e-07	1.24592943915032	0.818	0.443	0.00668780218442854
pik3c2b	3.55672599163138e-07	0.890390051267135	0.75	0.23	0.00698007475857658
rnd3a	3.56770115239888e-07	0.85133676837652	0.568	0.098	0.00700161351158281
hivep2a	3.87735455265823e-07	0.722844485921553	0.432	0.033	0.00760930830959177
ebf2	4.08418244026443e-07	0.844349129539806	0.364	0	0.00801520803901894
rnf220a	4.3416907632748e-07	-0.942385354645738	0.955	0.967	0.0085205681229268
map7d2b	4.83400424196324e-07	0.643772914930355	0.432	0.033	0.00948673332485286
ndst1b	4.96154863066906e-07	-0.96092154165077	0.432	0.836	0.00973703918768802
mindy3	5.04303959755257e-07	0.876147451098545	0.568	0.115	0.00989696521019693
rnf24	5.09412897353263e-07	0.929156301743406	0.659	0.18	0.00999722811055779
tox	5.32747813660565e-07	-0.870482798322616	0.591	0.885	0.0104551758430886
zmiz1a	6.23046525862546e-07	-1.13823480451623	0.682	0.852	0.0122272880700525
ntn1a	6.44873472662533e-07	-1.46767850639278	0.773	0.869	0.0126556419010022
arhgap33	6.49990798846307e-07	-0.992350485573434	0.273	0.754	0.0127560694273588
edc4	6.57064480103062e-07	-0.850622375961773	0.182	0.639	0.0128948904220226
