	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	2.64448854990373e-19	2.24350613382342	0.861	0.049	5.18980877918607e-15
serpinh1b	6.36758547661189e-16	2.1023269232915	1	0.284	1.24963864978508e-11
epha4a	4.55581680109919e-15	-1.90666320258403	0.694	0.988	8.94079047215716e-11
atf3	1.47238889312164e-13	2.13986776758613	0.806	0.173	2.88956320275122e-09
zbtb16a	2.46100193635468e-13	-1.67836546397842	0.944	0.988	4.82971630009606e-09
pdcd4b	2.47126202781059e-13	1.10202093694051	0.694	0.062	4.84985172957828e-09
hspa5	5.69181288662794e-13	1.33038967363556	0.861	0.198	1.11701827900073e-08
klf6a	1.85350736763573e-12	1.13473557298001	0.583	0.025	3.63750820898512e-08
zgc:158463	1.88319191204752e-12	1.28475460245738	1	1	3.69576412739326e-08
hsp70l	7.12160783570891e-12	1.30580842952409	0.5	0	1.39761553775787e-07
tox	1.39429280810522e-11	-1.53191879957446	0.611	0.963	2.7362996359065e-07
sox13	2.87927009258658e-11	-1.73467378265822	0.5	0.951	5.65056755670117e-07
hsp70.3	3.32402478975008e-11	1.30580842952409	0.472	0	6.52339864988453e-07
jun	3.704143151524e-11	1.28281905784825	0.583	0.049	7.26938093486586e-07
plch1	6.48296209526451e-11	-1.27783830946968	0.75	0.963	1.27228131119566e-06
tle2a	1.29224920084704e-10	-1.23649936753182	0.389	0.926	2.53603905666232e-06
stat3	1.92902123775816e-10	1.47836986696605	0.944	0.593	3.78570417910038e-06
cldn5a	2.38900056620598e-10	1.10403706578586	0.833	0.235	4.68841361117923e-06
jarid2b	3.0915700798147e-10	-1.30256277002043	0.944	0.988	6.06720628163635e-06
zeb1b	4.09908234038462e-10	-1.43395836117607	0.722	0.975	8.04444909300481e-06
pax6a	9.52961876835463e-10	-1.47224939870242	0.611	0.951	1.8701876832896e-05
zbtb16b	1.01624754612706e-09	-1.28768388158817	0.833	1	1.99438580927435e-05
fgfr1b	1.06476681196071e-09	1.16992500144231	0.917	0.506	2.0896048684729e-05
hivep2a	2.43445428624997e-09	0.955800196089465	0.528	0.049	4.77761653676556e-05
fer1l4	2.53280430268069e-09	0.667424660913129	0.5	0.037	4.97062844401085e-05
sugt1	2.61670699728356e-09	1.12460101093282	0.694	0.173	5.13528748216898e-05
oga	2.92180999320352e-09	-1.07638604680035	0.222	0.815	5.73405211166191e-05
zfhx4	2.93882054193326e-09	-1.2445380622164	0.889	0.963	5.76743531354402e-05
SBNO2	3.56041981753071e-09	0.87518173588118	0.528	0.049	6.98732389190402e-05
