	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
odc1	1.64344041670629e-09	-1.24392558288609	0	0.737	3.22525181778609e-05
hsp90aa1.2	2.324182758928e-09	2.86434490064243	0.949	0	4.5612086643962e-05
serpinh1b	5.62294365900192e-09	2.39834435599668	0.974	0.316	0.000110350269307913
grk4	1.07353892437407e-08	-1.13058410981014	0.128	0.895	0.00021068201390841
ror1	5.60805438203348e-08	-2.17913585464225	0.385	0.895	0.00110058067247407
ephb4b	1.45348028513418e-07	-1.45251220469751	0.128	0.789	0.00285245505957584
zbtb16a	2.52038344772178e-07	-1.537976853051	1	1	0.004946252516154
oga	2.52401804650187e-07	-1.44409996488131	0.103	0.737	0.00495338541625991
efna2a	3.70177654271815e-07	-1.63471553591826	0.769	1	0.00726473646508437
zgc:158463	3.89358457966645e-07	1.23337920487443	1	1	0.0076411597375954
fnbp1a	8.12601799228943e-07	-1.03747470541866	0.077	0.684	0.015947310309868
greb1l	8.23537019984853e-07	-1.56256575016242	0.513	0.895	0.0161619140172027
tox	8.41688381547331e-07	-1.38539800883897	0.667	1	0.0165181344878664
jarid2b	1.28864138584042e-06	-1.31443606929453	0.949	1	0.0252895871971183
stat3	1.57539786951413e-06	1.67301867738635	0.974	0.526	0.0309171831892147
zgc:153115	1.90631625538096e-06	-1.37851162325373	0.154	0.737	0.0374114565118513
pax3a	3.50493283549811e-06	-2.01100249405747	0.231	0.737	0.0687843068966504
eif4g1a	4.02477418221931e-06	-1.21112279290369	0.615	1	0.078986193326054
adcy6b	5.45379505013204e-06	-0.963474123974886	0.026	0.526	0.107030727858841
atf3	5.77426320747476e-06	2.38398906301961	0.744	0.105	0.113319915446692
edc4	5.96897661077459e-06	-0.90623017214041	0.154	0.737	0.117141165986451
tmem131l	6.55784017540119e-06	-1.08638430589961	0.282	0.895	0.128697613442248
hspa5	6.80171895041837e-06	1.41503749927884	0.667	0	0.133483734401961
ddx5	7.52931858272741e-06	-1.15946522979727	0.436	0.895	0.147762877186025
scube2	7.85248160495383e-06	-1.28986186705295	0.359	0.947	0.154104951497219
atxn2l	8.1695475168088e-06	-1.00352737349532	0.103	0.632	0.160327370017373
fgfr1b	9.38831525864767e-06	1.12398871727545	0.949	0.526	0.184245686950961
ptprn2	1.01799739957905e-05	-1.21702412574938	0.513	0.895	0.199781989667388
eef2b	1.17086648435741e-05	-1.32287692428091	0.615	0.947	0.229782547555141
mllt10	1.20754223433849e-05	-0.952227418800152	0.821	1	0.236980163488929
col4a6	1.24262615127354e-05	-1.53997504594785	0.513	0.895	0.243865382187432
klf6a	1.26916664187494e-05	1.25375659224578	0.641	0	0.249073953467957
gmps	1.37274707812412e-05	-1.14056819838277	0.256	0.789	0.269401614081858
dnmt3ba	1.45219842492245e-05	-1.124937546669	0.179	0.737	0.28499394089103
atrx	1.51740172861917e-05	-1.25589822455217	0.564	1	0.297790089241512
cacnb3b	1.69929289555015e-05	-0.839535327806754	0	0.421	0.333486230751717
spsb4a	2.1448741831491e-05	-1.51505367076622	0.513	0.895	0.420931558443012
tpm4a	2.22138932693047e-05	1.36851765425717	0.667	0.053	0.435947655410104
pax3b	2.32265918740355e-05	-1.00185079568794	0.051	0.526	0.455821865527946
usp4	2.6848777099639e-05	-0.825970600224951	0.103	0.632	0.526907250580416
pno1	2.71560728983022e-05	-0.573527605658873	0.026	0.474	0.532937930629182
zbtb16b	3.04067166297991e-05	-0.888772975063864	0.923	1	0.596731813859807
zfpm2b	3.13050780784021e-05	-1.03747470541866	0.077	0.579	0.614362157288642
mtss1la	3.28949850088893e-05	-0.875203276519786	0.154	0.684	0.645564080799452
st3gal3b	3.41548356918625e-05	-1.05765258735629	0.462	0.895	0.670288650452801
adgrl2a	3.56868337179917e-05	-1.08610948066954	0.872	1	0.700354111715586
atad5a	3.94101094605752e-05	-0.838165897195256	0.359	0.895	0.773423398163788
hivep2a	4.03423661949677e-05	1.2844533894687	0.59	0	0.791718936576242
usp37	4.09676628022249e-05	-0.698672791966904	0.077	0.579	0.803990382493663
rnf24	4.14942048558327e-05	1.41503749927884	0.59	0	0.814323770295717
tle3b	4.20791232626243e-05	-1.06495544184077	0.205	0.737	0.825802794029002
ipo7	4.44705935130145e-05	-1.35654314616678	0.615	0.947	0.87273539769291
jak1	4.53300854759825e-05	1.57605694749926	0.769	0.263	0.889602927466156
lrrfip1a	4.59344135276529e-05	-0.665505928031705	0.077	0.579	0.901462865480189
