	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ek1	8.42169402510496e-09	-1.44103270781179	0.031	0.867	0.000165275745242685
notum1a	3.25636841870723e-08	-2.55942740861402	0.188	0.933	0.000639062302171294
adgrl2a	3.73083408823822e-08	-2.85494966719672	0.719	1	0.00073217618981675
celsr1a	6.39182509281197e-08	-2.43333831602179	0.344	1	0.00125439567446435
ZNF423	1.0745323789462e-07	-2.03064531744483	0.562	1	0.00210876979368192
jarid2b	1.1427006433938e-07	-1.96280138204575	0.906	1	0.00224255001266034
pcdh19	1.79736802791893e-07	-2.14622074085104	0.219	0.933	0.0035273347547909
hs3st3b1a	1.83059088554569e-07	-2.11417101991931	0.062	0.8	0.00359253461288342
prickle1a	3.87894266099194e-07	-1.05246741989414	0.125	0.867	0.00761242497219668
oga	7.15549151471704e-07	-1.16710998583526	0.094	0.867	0.0140426520976322
col7a1l	7.6945340070398e-07	2.50514991894313	0.938	0.133	0.0151005229888156
unc5b	9.72248614877288e-07	-1.43928504552552	0.469	1	0.0190803790669668
her15.1	1.01145839536404e-06	-1.24838762986939	0.219	0.933	0.0198498710090193
pax3a	1.06403898256082e-06	-1.21925043452457	0.969	1	0.0208817650327561
hsp90aa1.2	1.24889028400259e-06	2.01541505238669	0.875	0.067	0.0245094718235508
alcamb	1.30117506788037e-06	-1.97877672891249	0.844	1	0.0255355607071522
nav2a	1.46498731404716e-06	-1.5829146720723	0.219	0.933	0.0287503760381756
tle3a	1.47215400098241e-06	-1.56704059272389	0.125	0.8	0.0288910222692797
si:dkey-22o22.2	1.83988393340003e-06	-1.90046432644909	0	0.6	0.0361077221929756
mmp17a	1.84523544339558e-06	-2.76553474636298	0	0.6	0.0362127455766383
atp2b4	2.76722921107218e-06	-1.55031635791427	0.594	0.933	0.0543068732672915
zeb1b	2.94006238566675e-06	-1.35164241799033	0.844	1	0.05769872431871
tpm4a	3.00979020106808e-06	1.50680343779565	0.844	0.067	0.0590671326959611
llgl1	3.44701821355811e-06	-1.22741049610307	0.219	0.933	0.0676477324410779
rbm4.1	3.48194037801488e-06	-1.05463525657685	0.188	0.867	0.0683330799185421
tmem132e	3.71105643986342e-06	-1.59400764032416	0.375	1	0.0728294826323197
serpinh1b	4.50633392726274e-06	1.80413102118332	0.906	0.333	0.0884368033225312
robo3	4.99423811931949e-06	-1.79882406457325	0.75	1	0.098011923091645
fmnl3	5.04899710925865e-06	-1.65382435886596	0.188	0.8	0.0990865682692009
col18a1a	5.28656106926485e-06	-1.82143608028381	0.875	0.933	0.103748760984323
mllt3	5.35246220144637e-06	-2.40077680615367	0.406	0.867	0.105042070703385
dapk1	5.37862989866973e-06	-1.17557156458345	0.062	0.667	0.105555611761393
parp1	6.09360063829781e-06	-1.13158355220612	0.156	0.8	0.119586912526595
arid3b	6.5824554373502e-06	-1.63625172941801	0.531	1	0.129180687957998
ipo7	6.62607841464715e-06	-1.18330721336306	0.875	1	0.13003678888745
sox13	7.33720265139879e-06	-1.78825482286306	0.656	0.933	0.143992602033701
pkd1b	7.60888623461973e-06	2.19034454268124	0.844	0.2	0.149324392354412
tenm4	7.74541710216232e-06	-2.02185072122166	0.594	0.933	0.152003810629935
meis1b	7.83865308466309e-06	1.63960671677337	0.844	0.133	0.153833566786513
greb1l	8.20252541622269e-06	-1.37756279386018	0.625	1	0.16097456129337
si:ch211-152c2.3	8.41122811186416e-06	-1.09310940439148	0.031	0.6	0.165070351695334
lmo3	8.58567354001679e-06	-1	0	0.533	0.16849384322283
sall4	8.89142350770168e-06	1.49185309632967	0.906	0.2	0.174494186338646
large2	8.89618693648868e-06	-1.29014625145104	0.219	0.867	0.17458766862859
kpnb3	9.49308574451878e-06	-1.49044490193687	0.281	0.867	0.186301807736181
sema3fb	9.81234160491537e-06	-1.83633398902937	0.25	0.867	0.192567203996464
sfswap	1.07927927793495e-05	-1.36021347453432	0.438	1	0.211808558294734
odc1	1.0860057373765e-05	-0.803602787196497	0.031	0.6	0.213128625960138
ankrd11	1.2973761875393e-05	-1.09310940439148	0.812	1	0.254610076804587
wnt4	1.61379773641835e-05	1.82888808360725	0.844	0.133	0.316707805772102
hoxd3a	1.68451938008078e-05	1.21067134378562	0.781	0.067	0.330586928340853
uggt2	1.6874383869938e-05	-0.870716983055034	0.062	0.667	0.331159783447533
rras2	1.72233915721155e-05	-1.16022360025002	0.094	0.733	0.338009059602766
soga1	1.73535076859457e-05	-1.1296352804166	0.156	0.8	0.340562588336683
srsf11	1.84681832375179e-05	-1.16349873228288	0.25	0.8	0.362438096036288
ptprfb	2.12536395671389e-05	-0.865698908288409	0.969	1	0.4171026765051
chl1a	2.4384576125492e-05	1.97727992349992	0.719	0	0.47854730646278
nhsb	2.65085152981355e-05	-1.25357407658473	0.062	0.6	0.52022961272591
znrf3	2.85686994738881e-05	-1.56819428734026	0.688	1	0.560660727175055
stat3	3.39646015583064e-05	1.80379710264442	0.906	0.533	0.666555305581763
si:ch211-269k10.2	3.48112822252229e-05	-0.977632186971545	0.125	0.733	0.683171413669999
mrpl12	3.69814862628505e-05	-0.552541023028779	0	0.467	0.725761667908441
ndst3	3.80264026812814e-05	-1.09310940439148	0.281	0.867	0.746268152620147
wrn	3.80513366284872e-05	-0.616671360448494	0	0.467	0.746757481334061
prkdc	3.8777899422231e-05	-0.678071905112638	0	0.467	0.761016276161284
CR931802.4	3.88302083468897e-05	-0.793549122532574	0	0.467	0.762042838807711
cdh7a	3.9781227447932e-05	-1.22239242133645	0	0.467	0.780706588665665
nxn	4.01174909705251e-05	-1.61553043904392	0.375	0.867	0.787305760296555
rgs3b	4.61286082338003e-05	-1.09310940439148	0.031	0.533	0.905273936588331
fbxw7	4.65246362679495e-05	-0.842047640223764	0.938	1	0.913045986758508
ror1	5.11023726440724e-05	-1.129178659099	0.688	1	1
pak6a	5.19597570869826e-05	-0.9066962801606	0.031	0.533	1
pdzd2	5.34220730145641e-05	-1.1926450779424	0.531	1	1
sae1	5.46136653239131e-05	-0.803602787196497	0.031	0.533	1
zc2hc1a	5.69172029570721e-05	-0.692571474807753	0.031	0.533	1
tsc22d1	5.70848130564371e-05	-1.09310940439148	0.5	1	1
chd7	5.76854687887743e-05	-0.867817092549239	0.812	1	1
fnbp1l	6.07284092922034e-05	-0.967578522307623	0.125	0.667	1
tox	6.60065518235051e-05	-1.19403831324226	0.75	0.933	1
kirrel3l	6.72652496147254e-05	1.33315535031062	0.719	0.067	1
tjp1b	7.07741548947486e-05	-1.23749931372666	0.5	0.933	1
cfdp1	8.33454140371615e-05	-1.01716055115818	0.188	0.733	1
hspa5	8.68730104248508e-05	1.35858656546621	0.75	0.133	1
nedd9	9.23723003496452e-05	-0.821807382574087	0.031	0.533	1
ppih	0.000100283237892025	-0.584095756903624	0.094	0.667	1
slc20a2	0.000100897995426571	-1.09310940439148	0.312	0.867	1
znf827	0.000118754016197906	-1.03298841195391	0.281	0.867	1
ctnnal1	0.000119914595513315	-1.54377081340105	0.375	0.8	1
rps6kal	0.000120553323039324	-0.725377619890994	0.219	0.8	1
zmym4	0.000124028441332517	-1.05128922869685	0.094	0.6	1
cbl	0.000129559238022156	-0.883656038762532	0.125	0.667	1
ptp4a3b	0.000145689949328385	-1.00822050680497	0.094	0.6	1
gli3	0.0001523550694984	-0.930226638121327	0.969	1	1
neo1a	0.000153702715912008	-0.964376090269278	0.906	1	1
ube2na	0.000163345460331456	-0.485426827170242	0	0.4	1
dla	0.000166569731979413	-0.616671360448494	0	0.4	1
ddx5	0.000166727588708588	-1.01064724419951	0.406	0.933	1
prkar2aa	0.000168526811304141	-0.616671360448494	0	0.4	1
trim105	0.00016874531196563	-0.678071905112638	0	0.4	1
pak2b	0.00016979921522328	-0.821807382574087	0.094	0.6	1
dnmt3bb.1	0.000169840966447902	-0.793549122532574	0	0.4	1
dbn1	0.00017077324682572	-0.997952171351141	0.344	0.867	1
zgc:158463	0.000176728813556493	0.8550516640889	1	1	1
ptbp3	0.000186140482750095	-0.896072557331928	0.281	0.867	1
clasp2	0.000196212634277392	-0.928722586490599	0.562	0.933	1
ptprfa	0.000202939374897275	-0.9066962801606	0.031	0.467	1
XKR4	0.000209195417627545	1.72505227262271	0.906	0.333	1
atxn7	0.000213073225442853	-0.817474961778054	0.281	0.867	1
fgfr3	0.000216035794493032	1.2126990251326	0.75	0.2	1
canx	0.000222359720331162	1.09953567355091	0.844	0.333	1
eif4h	0.000226373567951237	-0.817474961778054	0.375	0.867	1
march8	0.000233436831296525	-0.870716983055034	0.25	0.867	1
wnt8a.1	0.000237657061793354	-0.781165398076741	0.094	0.6	1
acvr1ba	0.000244019455191149	-0.633677785754184	0.031	0.467	1
gpr161	0.000244051205601749	-0.706086281282234	0.062	0.533	1
tnfsf10l	0.000256236682617312	-0.572277241090041	0.031	0.467	1
si:zfos-905g2.1	0.000256236682617312	-0.572277241090041	0.031	0.467	1
pcdh1g32	0.000266655526220447	-0.877380713336044	0.125	0.6	1
cct6a	0.00027262233236505	-0.76296080269915	0.25	0.867	1
usp7	0.000289424587645909	-0.970252656605948	0.375	0.867	1
pkn2	0.000293358434988213	-0.529208519198155	0.062	0.533	1
yap1	0.000297099987317143	1.21977355089287	0.969	0.6	1
nol11	0.000302421334774658	-0.788254822863061	0.25	0.8	1
axin2	0.000311032433268228	-0.932644732198235	0.188	0.667	1
brdt	0.000329250668437127	1.10126864077537	0.875	0.467	1
hells	0.000330098304915017	-0.908684833254054	0.312	0.867	1
fam49a	0.0003359328370147	0.948710771303146	0.688	0.067	1
ror2	0.000339401291709754	-0.867227996975154	0.5	1	1
ppm1bb	0.000367702736004278	-0.79612766663435	0.25	0.8	1
tshz1	0.00037065191074743	1.49185309632967	0.719	0.2	1
kif26ab	0.000373899169088514	-1.05563469897282	0.156	0.667	1
sipa1l2	0.000375240906201494	-1.15919859484925	0.531	0.867	1
nrp2b	0.000386514381175146	-1.20943352235871	0.875	0.933	1
igf1ra	0.000391408187557676	-0.925381958653415	0.719	0.933	1
tanc2a	0.000401211157831635	1.14896538280667	0.875	0.333	1
ndufa4l	0.00040139564347106	-0.615062107586837	0.188	0.733	1
acsl2	0.000402160124596412	-1.29014625145104	0.219	0.733	1
zgc:110158	0.000403405500234918	-0.799663685661594	0.906	1	1
ppp2r2ab	0.000405935459709345	-0.88957601030635	0.094	0.6	1
CT009620.1	0.000407100512580546	-0.60768257722124	0.062	0.533	1
ssbp4	0.000408716260192613	-0.818934440952487	0.875	1	1
phf3	0.000417597543500148	-0.529208519198155	0.031	0.467	1
nup153	0.000419863786646377	-0.870716983055033	0.281	0.8	1
raph1b	0.000423735424308841	-0.914772163132969	0.281	0.8	1
arhgap21b	0.000424097570951527	-0.93783117891357	0.719	1	1
klf7a	0.000425316111556509	-1.1926450779424	0.312	0.8	1
arhgap29a	0.00043408576627044	-0.983484913216983	0.625	1	1
epha2a	0.000460878920391954	-0.988139844789939	0.375	0.933	1
mybbp1a	0.000469380284773058	-0.779951519131851	0.25	0.733	1
anks1b	0.000470446791263122	-0.891475543221831	0.281	0.8	1
ptk2ab	0.00048914188690366	-0.678071905112638	0.125	0.6	1
xpo4	0.000513588815261201	-0.955605880641547	0.281	0.8	1
gnai1	0.000527031373929749	-0.852101304887687	0.156	0.667	1
her12	0.000544321044211745	-1.23061292814142	0.188	0.667	1
pleca	0.000576786600505522	0.998813085049558	0.75	0.2	1
arnt2	0.000594816672361222	-0.685934022885608	0.438	1	1
aplp2	0.0006025829945937	-0.747973918342794	0.25	0.8	1
col12a1a	0.000629124732862598	1.6020360140801	0.781	0.4	1
c4b	0.000630265954464905	0.78135971352466	0.531	0	1
efnb1	0.000641345240748446	-1.12627626832668	0.188	0.667	1
ntn1b	0.000656523722623715	-2.00564656314114	0.062	0.467	1
nnt	0.000659654463344837	-0.698830465279435	0.25	0.867	1
map7d2b	0.000671259708085967	0.807354922057604	0.531	0	1
cdk17	0.000676367429626158	-1.02272007650008	0.188	0.667	1
rapgef1a	0.000682259534190539	-0.415037499278844	0	0.333	1
rnf141	0.000682259534190539	-0.415037499278844	0	0.333	1
synrg	0.000682259534190539	-0.415037499278844	0	0.333	1
slc25a33	0.000682259534190539	-0.415037499278844	0	0.333	1
nop56	0.000684797727039813	-0.68371846825378	0.75	1	1
si:ch211-241n15.3	0.000690875922903127	-0.485426827170242	0	0.333	1
BICD2	0.000690875922903127	-0.485426827170242	0	0.333	1
cux1a	0.000691217791932538	-1.0275210627639	0.281	0.8	1
hoxa4a	0.000694469118832796	1.12928301694497	0.531	0	1
cdc42ep4a	0.000695212034131983	-0.552541023028779	0	0.333	1
xk	0.000695212034131983	-0.616671360448494	0	0.333	1
napga	0.000695212034131983	-0.552541023028779	0	0.333	1
cog1	0.00069608149431725	-0.616671360448494	0	0.333	1
zgc:66433	0.00069608149431725	-0.84799690655495	0	0.333	1
zdhhc13	0.000697822654917178	-0.678071905112638	0	0.333	1
olig4	0.000697822654917178	-0.678071905112638	0	0.333	1
atf3	0.00070160251861896	1.86108690599539	0.594	0.067	1
pik3c2b	0.000710312107901264	1.10852445677817	0.781	0.267	1
ocrl	0.000717101051907795	-0.664266105587607	0.094	0.533	1
atg16l1	0.000717101051907795	-0.664266105587607	0.094	0.533	1
bcam	0.000723850215804657	1.18487534290828	0.719	0.267	1
tbl1xr1a	0.000740073981633942	-0.710389625385366	0.906	0.933	1
nkain4	0.000752682639679587	-0.689753710160273	0.125	0.667	1
ylpm1	0.000762824858293911	-0.870716983055033	0.281	0.733	1
zbtb16b	0.000779587373981378	1.17537943153442	0.906	0.467	1
kmt2bb	0.000801523879549785	-0.720300140501935	0.812	0.933	1
cabin1	0.000819455421640786	-0.843131151383134	0.312	0.8	1
tcf7	0.00083038491623772	-0.60768257722124	0.094	0.533	1
sulf1	0.000834017665862246	-1.18057224564182	0.156	0.667	1
dab2ipb	0.000836474748069689	-1.34944915765127	0.062	0.467	1
antxr1c	0.000854300626713885	1.2644426002266	0.594	0.067	1
si:dkey-239h2.3	0.000904121490435385	-0.836769651131696	0.281	0.733	1
lmx1bb	0.00090915647657871	-1.29664279847661	0.031	0.4	1
tubgcp3	0.000909970711733788	-1.09310940439148	0.031	0.4	1
aclya	0.000920015170699326	-0.706086281282234	0.062	0.467	1
grin3bb	0.000920015170699326	-0.813001485198746	0.062	0.467	1
plxdc2	0.000940350244451358	-1.09310940439148	0.719	0.933	1
bmpr1ba	0.000953391455372528	-0.508146903670325	0.125	0.6	1
nsun2	0.000965844062667509	-0.692571474807753	0.031	0.4	1
kpna3	0.000993292425537997	-0.441032707811788	0.219	0.733	1
lhfpl2b	0.00102035576278989	-0.706086281282234	0.062	0.467	1
hpse	0.00102109022647025	-0.649502752915867	0.062	0.467	1
pid1	0.00102223725101062	-0.572277241090041	0.031	0.4	1
stim1a	0.00102223725101062	-0.572277241090041	0.031	0.4	1
dynll1	0.00103349126670206	1.09451759878429	0.688	0.2	1
cdc42bpaa	0.00103488553778313	-0.979452622595914	0.625	0.933	1
psmd7	0.00107797134467854	-0.508146903670325	0.031	0.4	1
cldn12	0.00107797134467854	-0.508146903670325	0.031	0.4	1
aspg	0.00107797134467854	-0.508146903670325	0.031	0.4	1
sgms1	0.00107797134467854	-0.572277241090041	0.031	0.4	1
tiam1b	0.00107797134467854	-0.508146903670325	0.031	0.4	1
dnaja2a	0.00110986276157573	-0.638543540926	0.125	0.6	1
arrb2b	0.00112621409583782	-0.529208519198155	0.062	0.467	1
ttll4	0.00112621409583782	-0.529208519198155	0.062	0.467	1
hira	0.00112798819663752	-0.936990202474199	0.219	0.667	1
pepd	0.00112971217751615	-0.441032707811788	0.031	0.4	1
hnrnpub	0.00112986028548249	-0.98619420047497	0.5	0.867	1
tcirg1b	0.0011443023342822	0.832890014164742	0.5	0	1
rbm39b	0.00116785561063128	-0.545621609088988	0.125	0.6	1
fat3a	0.00118698945046209	-1.09310940439148	0.781	1	1
hivep2a	0.00119621225970434	0.954196310386875	0.5	0	1
st3gal3b	0.00119957389529759	-0.816269199032657	0.469	0.933	1
SBNO2	0.00121740380147231	1.20945336562895	0.5	0	1
gsk3ba	0.00124395969372041	-0.717600269299275	0.406	0.867	1
uvrag	0.00124700291601391	-0.991229790372268	0.281	0.733	1
srsf5b	0.00125828744783567	-0.725377619890994	0.188	0.667	1
castor2	0.00126637492509645	1.1357092861044	0.562	0.067	1
sart3	0.00127938846531911	-0.735557399773398	0.188	0.667	1
cd99l2	0.00131928816253795	-0.936990202474199	0.156	0.6	1
celsr1b	0.00132947387003116	-1.09310940439148	0.531	0.8	1
eif5b	0.00136859693148257	-0.806805219234841	0.438	0.867	1
hspa9	0.0014073382552091	1.05128050494369	0.688	0.267	1
slc44a1b	0.0014692662691101	-0.60768257722124	0.062	0.467	1
riox1	0.00151265458281751	-0.508146903670325	0.094	0.533	1
dtl	0.0015447056702725	-0.6525368130055	0.156	0.6	1
tle2a	0.00158685827771694	-0.941106310946431	0.531	0.867	1
megf6b	0.00162463593843071	-1.15200309344505	0.375	0.733	1
trabd2a	0.00162565768377942	-0.548788888167671	0.062	0.467	1
mdkb	0.00167220601301799	-1.11864449649862	0.406	0.8	1
ube2e2	0.00169370089193855	-0.771181309504119	0.312	0.733	1
wdhd1	0.00176480985111103	-0.752072486556415	0.156	0.6	1
clul1	0.00178676516266218	-0.745186100971175	0.25	0.733	1
eif2s2	0.00180871820491343	-0.717600269299275	0.406	0.8	1
jak1	0.00180981029297967	0.946418959795156	0.656	0.2	1
klf6a	0.00181646561096039	0.727920454563199	0.469	0	1
fbxo11a.1	0.00182694697145683	-0.708445554156156	0.25	0.733	1
akap8l	0.00185621711136166	-0.638543540926	0.156	0.6	1
top1l	0.00188211503088552	-0.62744583204267	0.375	0.933	1
arhgap33	0.00189919333904457	-1.1904066057464	0.25	0.667	1
zgc:153115	0.0019285843535929	-0.730539325006773	0.125	0.533	1
crb2a	0.00196755158256636	1.06608919045777	0.469	0	1
nectin1b	0.00200415961321362	-0.977632186971545	0.875	1	1
ilf3b	0.00204757267998913	-0.78825482286306	0.531	0.867	1
spag9a	0.00210721491960188	-0.970252656605948	0.375	0.733	1
pou2f1b	0.00219926944239603	-0.741637033890104	0.125	0.533	1
numbl	0.0023371703055123	-0.895170026779572	0.125	0.533	1
bcar1	0.00235379947060461	1.19068356160911	0.719	0.267	1
gne	0.00243026879994488	-0.799378201334771	0.125	0.533	1
maml3	0.00246873602914854	-0.745186100971175	0.594	0.933	1
si:dkey-56m15.2	0.00250130302722684	0.78953364497036	0.531	0.067	1
sox3	0.0025082098043883	1.11839470080223	0.688	0.267	1
rplp2l	0.00251545075768298	-0.799378201334771	0.688	0.933	1
letm1	0.00258589534603378	-0.845181890947896	0.438	0.867	1
sfrp2	0.00259232367832711	1.0566377151132	0.531	0.067	1
