	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	5.03519724681673e-25	2.62990363694581	0.971	0.069	9.88157459687784e-21
serpinh1b	4.73223886734856e-20	3.00333186069775	1	0.304	9.28701877717155e-16
hspa8b	2.43781163315863e-16	1	0.571	0	4.78420533007382e-12
nrarpa	6.09455464198538e-15	1.37474479333081	0.771	0.108	1.19605634848963e-10
klf6a	1.12993995971395e-14	1.59718216473942	0.857	0.245	2.21750717093863e-10
SBNO2	1.21788959911221e-14	1.34645041402143	0.514	0	2.39010833825771e-10
hsp70.3	8.09349757539901e-14	1.22826898767312	0.486	0	1.58834889917206e-09
cbx7a	6.41982945286356e-13	1.28564610273417	0.514	0.02	1.25989153012447e-08
her2	1.59458437703845e-12	1.67830190830816	0.6	0.059	3.12937183993796e-08
bmpr1ba	6.15349486889156e-12	-1.44851033225995	0.829	0.98	1.20762336801997e-07
hsph1	1.0637595528737e-11	1.16089476086535	0.657	0.108	2.08762812251464e-07
meis1b	1.20837213344214e-11	-1.51111043431953	0.8	0.98	2.3714303118802e-07
atf3	1.74976164617089e-11	2.29521481158294	0.743	0.216	3.43390723061038e-07
il6st	1.93987277205709e-11	0.970252656605948	0.686	0.118	3.80700031516204e-07
tox	2.87839665768694e-11	-1.44227435182903	0.6	0.961	5.64885344071061e-07
vasnb	3.00750292001933e-11	-1.43460486812634	0.314	0.873	5.90222448053794e-07
sox3	3.19628127149699e-11	1.2276404992986	0.571	0.069	6.27270199531283e-07
junba	7.10807914945241e-11	0.970563548761205	0.6	0.078	1.39496053308004e-06
hspa5	8.73238886853402e-11	1.24095816543758	0.714	0.196	1.7137313154498e-06
tpm4a	9.89874289566801e-11	1.16343789885997	0.686	0.147	1.94262829327485e-06
jarid2b	9.96888619681274e-11	-1.15665576755767	0.971	0.98	1.9563939161245e-06
fosl2	1.20212295211533e-10	1.38762474740524	0.743	0.186	2.35916629352633e-06
zgc:158463	1.26875265914331e-10	1.03215052360371	1	1	2.48992709356875e-06
jun	1.41583301697031e-10	1.3859589924758	0.829	0.294	2.77857229580424e-06
ddx5	1.53434865378452e-10	-1.17412746779876	0.486	0.922	3.01115923305211e-06
