	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	5.82901452707322e-22	2.74477618619618	0.975	0.029	1.14394410093812e-17
stat3	3.53736975211518e-17	2.20730261125634	1	0.559	6.94208813852604e-13
atf3	4.35374783036819e-17	2.27718056944121	0.875	0.088	8.54423011709758e-13
serpinh1b	1.48204536076643e-16	2.40457391983993	0.925	0.191	2.90851402050411e-12
greb1l	6.30709405034591e-16	-2.38733509089961	0.7	1	1.23776720738038e-11
zeb1b	2.64296788568362e-15	-2.13557349665153	0.725	0.985	5.1868244756541e-11
crb2a	2.41263774444026e-14	1.83049018820375	0.775	0.074	4.73480157346401e-10
hivep2a	6.12753616669715e-14	1.41953889151378	0.65	0	1.20252897271432e-09
efna5a	8.42332277658115e-14	-1.64696055835341	0.425	0.971	1.65307709490405e-09
zbtb16a	1.55349401402431e-13	-1.91674304264451	1	0.985	3.04873200252271e-09
jarid2b	1.84455156373836e-13	-1.49857269413604	0.95	1	3.61993244383653e-09
jak1	4.24415229396217e-12	1.55843851212304	0.85	0.221	8.32914887690077e-08
tox	6.749028956358e-12	-1.52294686543124	0.65	0.985	1.32449693268526e-07
lamb2	7.32561269544488e-12	1.47795815626639	0.775	0.176	1.43765149148106e-07
tpm4a	1.48661633018313e-11	1.3879719525028	0.725	0.118	2.91748454798439e-07
zgc:158463	4.80281733667326e-11	1.18226455673427	1	1	9.42552902322127e-07
adgrl2a	6.41428130891726e-11	-1.11538527037928	0.975	0.985	1.25880270687501e-06
cbx7a	2.29515524439061e-10	1.01456229420289	0.525	0.015	4.50424216711657e-06
hspa5	2.32786909399034e-10	1.1323170770346	0.675	0.103	4.56844309695605e-06
edrf1	2.95961556392075e-10	0.953607094515549	0.7	0.103	5.80824554419446e-06
bcar1	5.94201705698394e-10	1.10113777814742	0.775	0.176	1.1661208474331e-05
CABZ01080568.1	6.35484045202395e-10	0.985101123620661	0.575	0.044	1.2471374387097e-05
atrx	6.73230535429227e-10	-1.31823361132962	0.65	0.941	1.32121492577986e-05
s1pr2	8.12888632166817e-10	-1.42560674098903	0.225	0.853	1.59529394062738e-05
pcdh19	1.138056330689e-09	-1.43486260730361	0.925	0.971	2.23343554897717e-05
rnf24	1.24590237448883e-09	1.09811008544985	0.7	0.118	2.44508340993432e-05
ipo7	1.5887741734913e-09	-1.18774875472999	0.7	0.971	3.11796931547668e-05
junba	1.58966500271739e-09	0.977038851556689	0.625	0.088	3.11971756783288e-05
ssbp4	1.70252464105987e-09	-1.29549468703458	0.625	0.912	3.34120460807999e-05
bmpr1ba	3.94567032630513e-09	-1.10168007573611	0.75	1	7.74337801537382e-05
il6st	5.20693721625599e-09	1.16663305468395	0.625	0.103	0.000102186142869024
hspd1	5.27302603153677e-09	0.784900071229908	0.6	0.088	0.000103483135868909
pdcd4b	5.84783305080119e-09	0.974481636634474	0.625	0.103	0.000114763723621973
igf2b	5.84795176034501e-09	1.09927214353997	0.55	0.059	0.000114766053296771
actb1	8.13090787993416e-09	0.935459747805289	0.8	0.235	0.000159569067143708
fam168a	8.41536098841602e-09	-1.09696172988709	0.525	0.912	0.000165151459397664
