	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	1.49794966886179e-18	2.44087518446848	0.891	0.017	2.93972622514126e-14
crb2a	2.44426453549226e-17	2.12336729347055	0.913	0.068	4.79686915090355e-13
stat3	1.05597446750151e-16	1.97655640754448	1	0.542	2.07234989247172e-12
pax2a	1.77133072360888e-16	-2.81392330106946	0.5	1	3.47623654508242e-12
pax3a	1.11645468308521e-15	-2.43365179438793	0.413	0.966	2.19104231555472e-11
serpinh1b	1.18789378096278e-15	1.91954903210524	1	0.356	2.33124154513945e-11
zbtb16a	1.37091238547973e-15	-1.52154681749009	0.978	1	2.69041555650398e-11
zeb1b	4.05065386436121e-15	-1.91999152262074	0.783	1	7.94940820880887e-11
tpm4a	8.04452189303795e-15	1.62789785173263	0.978	0.254	1.5787374215087e-10
efna5a	9.50199789083826e-15	-1.653302631151	0.739	0.983	1.86476708607701e-10
pax5	1.65697160713911e-14	-2.59898822622925	0.565	0.966	3.2518067790105e-10
NAV1	1.66240320982655e-13	-1.82281654980356	0.478	0.966	3.2624662992846e-09
jarid2b	1.19168286890897e-12	-1.105322483295	0.978	1	2.33867763023385e-08
atrx	1.5206151604213e-12	-1.41604549585497	0.609	0.983	2.98420725232681e-08
angptl4	2.49998882476776e-12	1.33636101680474	0.717	0.051	4.90622806860673e-08
ptprna	1.95550848298291e-11	1.25855421735086	0.957	0.441	3.83768539785396e-07
notum1a	3.00201917133181e-11	-1.53754116684986	0.022	0.678	5.89146262373868e-07
ewsr1a	5.00358695875539e-11	-1.12966609215702	0.304	0.881	9.81953940655746e-07
atf3	5.09265256985268e-11	1.69788300675659	0.717	0.119	9.99433066833589e-07
cbx7a	1.21067415229567e-10	1.12878347388303	0.609	0.034	2.37594802388026e-06
ror1	1.4139672293396e-10	-1.43987138775708	0.565	0.983	2.77491068757896e-06
ipo7	1.51009010405651e-10	-1.16117571802851	0.674	0.983	2.96355182921091e-06
tmem131l	2.73085804845947e-10	-1.32541708096724	0.152	0.763	5.35930892010171e-06
llgl1	2.92742616758892e-10	-1.13088489348058	0.391	0.898	5.74507385389325e-06
puf60a	5.67926628005327e-10	-1.17204325578878	0.543	0.949	1.11455600746046e-05
pdzrn3b	6.31908976852578e-10	-1.32998981075707	0.065	0.661	1.24012136707318e-05
ankmy1	6.47725390363617e-10	1.20707799985978	0.543	0.017	1.2711610785886e-05
zgc:158463	7.56486092586944e-10	0.958920906746335	1	1	1.48460395670188e-05
cfdp1	1.05258759402988e-09	-1.02719741299259	0.174	0.78	2.06570315328364e-05
pdcd4b	1.22092468960203e-09	1.10532450105905	0.587	0.051	2.39606470334397e-05
slc39a14	1.30198389954958e-09	-0.998470911313255	0.043	0.627	2.55514340286604e-05
arhgef2	1.3237896429381e-09	-1.01531442147667	0.152	0.746	2.59793717426603e-05
tle3a	1.63789202332278e-09	-1.21694828264632	0.13	0.712	3.21436309577095e-05
eif3s10	2.11455078546865e-09	-1.03946828318545	0.652	0.949	4.14980591648223e-05
cnn2	2.27028126500759e-09	0.774118592583672	0.522	0.017	4.4554269825774e-05
hspa5	3.51921046693778e-09	0.951203385598851	0.652	0.085	6.9064505413654e-05
ilf3b	4.75836054372615e-09	-1.04491813452157	0.5	0.898	9.33828256706258e-05
brdt	4.99881227948046e-09	1.15900325785592	0.957	0.627	9.8101690984804e-05
mta1	5.22273311073804e-09	-1.29299560327486	0.239	0.78	0.000102496137298234
abca3b	5.57555346213229e-09	1.27292444955511	0.674	0.153	0.000109420236694346
foxp1b	7.57406155638758e-09	-1.22588140741633	0.717	0.915	0.000148640958044106
adgrl2a	9.29036964726559e-09	-1.23496928024429	0.891	0.983	0.000182323504327587
smarca4a	9.31053319504425e-09	-0.855657755488184	0.609	0.932	0.000182719213952743
etv4	1.03905995431938e-08	-1.31387788841416	0.087	0.644	0.000203915516035178
herc4	1.29937552354738e-08	0.965417244818552	0.63	0.119	0.000255002446496173
plxna3	1.73132148169813e-08	-0.981955824530239	0.957	1	0.000339771840783257
oga	1.74932614389516e-08	-1.0082899723437	0.065	0.61	0.000343305255739425
col18a1a	1.97334949110167e-08	-1.29588254882862	0.913	1	0.000387269837628702
cbl	2.25894478804589e-08	-0.899230902286562	0.109	0.644	0.000443317914654006
znrf3	2.49306613594385e-08	-1.02050756996973	0.935	1	0.00048926422917898
matn3a	2.74012929609854e-08	0.713745974604191	0.5	0.034	0.000537750374359339
jdp2b	2.90594152040803e-08	0.768193758626567	0.5	0.034	0.000570291023380076
lmx1bb	3.93394790305071e-08	-1.47500106667149	0.717	0.966	0.000772037275973702
c4b	4.12000025554683e-08	0.866875733503525	0.565	0.085	0.000808550050151065
zgc:153115	4.49624147071229e-08	-0.913937401101587	0.174	0.729	0.000882387388627287
chd4a	4.77658240805693e-08	-0.911008070062916	0.326	0.847	0.000937404297581172
bcor	4.98258449844855e-08	-1.12091184781479	0.152	0.678	0.000977832207820527
hivep2a	5.05199029236188e-08	1.36965033501502	0.587	0.119	0.00099145309487602
asap1a	5.62681765131803e-08	-0.972433050411732	0.261	0.729	0.00110426296407116
lef1	5.89634484304705e-08	-1.64654345588905	0.239	0.712	0.00115715767544798
col4a6	6.16119526653579e-08	-1.11807811788181	0.717	0.949	0.00120913457105765
afdna	6.37254300029073e-08	-0.976521938479611	0.891	0.983	0.00125061156380706
nrp2a	6.49440941477674e-08	-1.41403350433434	0.217	0.729	0.00127452784764993
cldn5a	6.50407193565576e-08	1.1237030303739	0.804	0.441	0.00127642411737244
ddx5	6.98441351498003e-08	-0.918903653994937	0.522	0.898	0.00137069115231483
SBNO2	7.26517927124545e-08	0.85460851044404	0.478	0.034	0.00142579143198192
bcar1	7.69543124517698e-08	1.23682534325383	0.696	0.237	0.00151022838186598
tox	8.4263886704819e-08	-1.13245454344806	0.609	0.898	0.00165367877658207
cited4a	9.34552988453356e-08	0.930623078263663	0.652	0.153	0.00183406023983971
phactr4b	9.86226934135761e-08	-0.905891116770458	0.217	0.746	0.00193547035824143
map7d2b	1.05418034556987e-07	0.726812877805315	0.5	0.051	0.00206882892818086
erbin	1.07803627655409e-07	-0.962847001582534	0.543	0.898	0.0021156461927374
junba	1.07957978569126e-07	1.02565735957964	0.5	0.051	0.00211867532941909
sipa1l2	1.15166391109624e-07	-1.05107418459427	0.696	0.949	0.00226014042552637
slc12a2	1.48371385178492e-07	-0.896757811124761	0.304	0.797	0.00291178843412791
hsph1	1.49004408711857e-07	0.82971091854699	0.609	0.119	0.0029242115209702
myh10	1.50961593836326e-07	-0.934115283039218	0.348	0.831	0.0029626212790379
raver2	1.72363959162558e-07	0.724365557386573	0.391	0	0.00338264269856519
parp1	1.96289507818036e-07	-1.03545075053937	0.283	0.729	0.00385218159092896
letm1	2.24242007735651e-07	-0.905891116770458	0.261	0.746	0.00440074940181216
pou2f1b	2.27596483088443e-07	-0.835296951862023	0.109	0.61	0.0044665809806107
atad2b	2.60221173254248e-07	-0.832614530808703	0.63	0.915	0.00510684052511462
klf6a	2.82462111778864e-07	0.914599816133503	0.565	0.119	0.0055433189436602
fosab	2.83487813681506e-07	0.821424307362029	0.739	0.254	0.00556344834349956
actb2	2.95805039356487e-07	0.902524324587718	0.826	0.39	0.00580517389737106
znf827	3.13111793261533e-07	-1.0178883651405	0.37	0.797	0.00614481894275759
crema	3.17272977837732e-07	0.768725333813454	0.587	0.119	0.00622648219006549
dennd4a	3.29484564368562e-07	0.66164386332526	0.413	0.017	0.00646613457573302
