	Cluster	HB10hpf	HB13hpf	HB16hpf	Cluster	CHB.1	CHB.2	CHB.3	FB	FB &  eye.2	FB & eye.1	FB & eye.5	FB & eye.8	HB.1	HB.2	HB.3	MB	MHB.1	MHB.2	MHB.3	NC.1	NC.2	SC.1	SC.2	SC.3	Cluster	CHB.1	CHB.2	CHB.3	Ciliated	FB.1	FB.2	FB.4	MB.1	MB.2	MB.3	MHB.1	MHB.2	MHB.3	MHB.4	MHB.5	Neuron	r1	r1 & r2	r2	r3	r4	r5	r6	SC.1	SC.2	SC.3	Cluster	CHB.1	CHB.2	CHB.3	CHB.4	Ciliated	DorsNT & NC	FB	MB.1	MB.2	MHB.1	MHB.2	MHB.3	Neuron	r1	r2	r3	r4	r5.1	r5.2	r6	SC.1	SC.2	SC.3
17	r4.2	11	23	26	r4.2	0	0	0	0	0	0	0	0	3	2	5	0	0	0	0	0	0	0	1	0	r4.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0	0	r4.2	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
18	r5.1	1	20	45	r5.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	r5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	r5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	3	0	0	0	0
19	r5.2	4	20	36	r5.2	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	r5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	r5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	35	0	0	0	0
20	r6.1	4	24	23	r6.1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	r6.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	r6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	22	0	0	0
21	r6.2	1	16	22	r6.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r6.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	r6.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
22	HB	27	1	1	HB	0	1	0	0	0	0	0	0	2	21	2	0	0	0	0	0	1	0	0	0	HB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	HB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	CHB.1	27	46	62	CHB.1	0	18	0	0	0	0	0	0	0	1	2	0	0	0	0	0	6	0	0	0	CHB.1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CHB.1	0	53	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
24	CHB.2	10	44	66	CHB.2	1	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	CHB.2	0	39	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	CHB.2	13	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	CHB.3	5	31	44	CHB.3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	CHB.3	0	3	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	CHB.3	42	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
26	CaudHB.4	36	0	1	CaudHB.4	6	14	14	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	CaudHB.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CaudHB.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
