	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	r1	r2	r3	r4	r5	r6
hoxb3a	5.7212024070653e-43	-1.35518067995365	0.04	0.582	1.11574889342587e-38	0.0434782608695652	0	0.507936507936508	0.651515151515151	3.38095238095238	2.78888888888889
egr2b	1.66833423988943e-36	-1.62977048627813	0.024	0.5	3.25358543463236e-32	0.0144927536231884	0	3.61111111111111	0.053030303030303	4.87301587301587	0
epha4a	5.44772446214485e-31	-2.07671936815126	0.255	0.637	1.06241522460749e-26	0.347826086956522	0.686567164179105	10.3650793650793	0.772727272727272	9.83333333333333	0.222222222222222
sema3fb	8.75030038533094e-30	-1.63352630942089	0.15	0.565	1.70648358114724e-25	0.202898550724638	0.17910447761194	6.47619047619047	0.522727272727273	6.68253968253967	0.0888888888888889
hoxa4a	5.80368757938491e-26	-1.24573822222806	0.02	0.384	1.13183515173164e-21	0	0.0149253731343284	0	0.0151515151515152	3.77777777777777	2.36666666666667
egr2a	1.63334451002611e-24	-1.08394366188183	0.012	0.354	3.18534846345293e-20	0	0.0149253731343284	1.30952380952381	0.0151515151515152	2.98412698412698	0
efna2a	5.09614466804019e-24	1.38526910135209	0.765	0.511	9.93850133161197e-20	8.82608695652174	2.22388059701493	1.55555555555555	1.88636363636364	0.817460317460318	0.733333333333333
mafba	1.19541530573927e-23	-1.18220294188134	0.032	0.378	2.33129892925272e-19	0.0289855072463768	0	0.0158730158730159	0.113636363636364	2.86507936507936	3.35555555555555
nbeaa	1.70112787303794e-21	-0.896261027076821	0.385	0.715	3.31753957799859e-17	0.536231884057971	0.970149253731343	2.58730158730159	1.64393939393939	2.81746031746031	1.62222222222222
bmpr1ba	2.50463238631934e-21	0.739092622571232	0.826	0.525	4.88453407979998e-17	3	2.65671641791045	1.1984126984127	1.57575757575757	0.777777777777777	1.08888888888889
ek1	8.95860599872388e-20	0.547733039971578	0.393	0.105	1.74710734187113e-15	0.507246376811594	0.716417910447761	0.19047619047619	0.212121212121212	0.111111111111111	0.155555555555556
midn	1.66741740591519e-19	-0.879051737044598	0.53	0.762	3.25179742501581e-15	0.521739130434783	1.26865671641791	3.42857142857142	1.03030303030303	4.5079365079365	1.44444444444444
nrp2a	2.25171493247276e-19	0.721735730838241	0.283	0.049	4.39129446130838e-15	1.07246376811594	0.149253731343284	0.0238095238095238	0.166666666666667	0.0476190476190476	0.0777777777777778
ptprn2	4.75146736006484e-19	0.772997697981616	0.696	0.407	9.26631164559846e-15	3.2463768115942	1.82089552238806	0.698412698412699	1.09090909090909	0.547619047619048	0.822222222222222
abtb2b	3.14892036868313e-17	-0.595867476102266	0.036	0.308	6.14102450300583e-13	0.0434782608695652	0.0149253731343284	0.53968253968254	0.659090909090909	0.873015873015873	0.2
nr2f1b	1.1184025995451e-16	0.771317759688801	0.417	0.15	2.18110874963285e-12	1.60869565217391	0.805970149253731	0.206349206349206	0.704545454545454	0.0634920634920635	0.255555555555556
myo1cb	1.12193948268786e-15	-0.671058694768766	0.016	0.253	2.18800637913787e-11	0.0579710144927536	0	1.04761904761905	0.0303030303030303	1.26190476190476	0.0111111111111111
timp2b	2.64495695829404e-15	-1.12190826094076	0.061	0.316	5.15819506006504e-11	0.0869565217391304	0.119402985074627	2.8015873015873	0.0303030303030303	2.93650793650793	0.0666666666666667
