Var1	Var2	Var3	Freq
FB.4	30	HB13hpf	21
CHB.1	31	HB13hpf	1
r6	31	HB13hpf	15
CHB.3	33	HB13hpf	1
MHB.3	33	HB13hpf	1
r1	33	HB13hpf	5
r2	33	HB13hpf	3
Neuron	35	HB13hpf	18
CHB.1	36	HB13hpf	1
Neuron	36	HB13hpf	1
SC.2	36	HB13hpf	2
SC.3	36	HB13hpf	3
r1	37	HB13hpf	1
SC.3	39	HB13hpf	2
CHB.1	41	HB13hpf	1
CHB.2	41	HB13hpf	3
FB.1	41	HB13hpf	1
MB.2	41	HB13hpf	1
MHB.3	41	HB13hpf	1
r3	41	HB13hpf	2
r5	41	HB13hpf	1
CHB.2	0	HB16hpf	53
CHB.4	0	HB16hpf	8
r6	0	HB16hpf	1
CHB.1	1	HB16hpf	1
SC.1	1	HB16hpf	31
SC.2	1	HB16hpf	19
SC.3	1	HB16hpf	1
DorsNT & NC	2	HB16hpf	4
r3	2	HB16hpf	54
r5.1	2	HB16hpf	2
r5.2	2	HB16hpf	2
CHB.1	3	HB16hpf	13
CHB.2	3	HB16hpf	2
CHB.3	3	HB16hpf	51
MB.1	4	HB16hpf	35
MB.2	4	HB16hpf	3
MB.2	5	HB16hpf	21
MHB.2	5	HB16hpf	12
MHB.3	5	HB16hpf	1
MHB.1	6	HB16hpf	15
MHB.3	6	HB16hpf	22
CHB.1	7	HB16hpf	1
CHB.4	7	HB16hpf	1
MHB.1	7	HB16hpf	1
Neuron	7	HB16hpf	44
SC.1	7	HB16hpf	2
SC.2	7	HB16hpf	2
CHB.1	8	HB16hpf	42
CHB.3	8	HB16hpf	1
r4	8	HB16hpf	1
MB.1	9	HB16hpf	1
MHB.1	9	HB16hpf	3
MHB.2	9	HB16hpf	15
SC.2	10	HB16hpf	9
SC.3	10	HB16hpf	1
DorsNT & NC	12	HB16hpf	29
MHB.3	12	HB16hpf	1
r1	12	HB16hpf	3
r2	12	HB16hpf	3
r6	12	HB16hpf	2
r2	13	HB16hpf	1
r4	13	HB16hpf	32
FB	14	HB16hpf	1
MB.1	14	HB16hpf	4
MB.2	14	HB16hpf	3
MHB.1	15	HB16hpf	2
r1	15	HB16hpf	33
r2	16	HB16hpf	29
r4	16	HB16hpf	1
r5.1	17	HB16hpf	42
r5.2	17	HB16hpf	3
CHB.2	19	HB16hpf	1
SC.1	19	HB16hpf	1
SC.3	19	HB16hpf	28
DorsNT & NC	20	HB16hpf	23
r2	20	HB16hpf	1
r4	20	HB16hpf	2
r5.1	21	HB16hpf	1
r5.2	21	HB16hpf	35
Ciliated	24	HB16hpf	10
SC.1	24	HB16hpf	12
MHB.1	25	HB16hpf	23
MHB.3	25	HB16hpf	1
MB.1	26	HB16hpf	4
MB.2	26	HB16hpf	5
MHB.2	26	HB16hpf	6
r5.1	27	HB16hpf	1
r6	27	HB16hpf	22
Ciliated	28	HB16hpf	21
r2	28	HB16hpf	1
CHB.4	29	HB16hpf	10
DorsNT & NC	29	HB16hpf	1
