	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	r1	r2	r3	r4	r5	r6
hoxa4a	1.37906757455305e-115	2.035798802023	0.833	0.014	2.68945758389336e-111	0	0.0149253731343284	0	0.0151515151515152	3.77777777777777	2.36666666666667
mafba	2.78226126761033e-99	1.92815583356826	0.787	0.034	5.42596592409366e-95	0.0289855072463768	0	0.0158730158730159	0.113636363636364	2.86507936507936	3.35555555555555
hoxb3a	3.42216601040325e-76	1.63330574598659	0.866	0.196	6.67390815348842e-72	0.0434782608695652	0	0.507936507936508	0.651515151515151	3.38095238095238	2.78888888888889
evx1	3.6566941749089e-45	0.698739289334405	0.431	0.026	7.13128497990733e-41	0.0144927536231884	0	0.0158730158730159	0.0606060606060606	0.825396825396825	0.455555555555556
si:ch211-216b21.2	2.86551277162195e-30	0.925891737493601	0.352	0.038	5.58832300721714e-26	0.0579710144927536	0.0447761194029851	0.111111111111111	0.0151515151515152	1.23809523809524	0.877777777777778
tenm4	4.45447032755705e-30	1.00215999600676	0.958	0.743	8.68710803280176e-26	3.89855072463768	9.50746268656716	3.74603174603174	1.95454545454545	8.38888888888888	12.0333333333333
gria1a	2.23542593877762e-29	0.791355548945529	0.338	0.036	4.35952766580411e-25	0.0144927536231884	0.0447761194029851	0.206349206349206	0.00757575757575758	1.4047619047619	0.0666666666666667
col11a1b	3.0585245711627e-29	0.928493532681881	0.417	0.079	5.9647346186815e-25	0.072463768115942	0.119402985074627	0.0952380952380952	0.113636363636364	0.801587301587302	1.48888888888889
hoxd3a	4.23159887193253e-29	0.560436267065318	0.296	0.02	8.25246412004281e-25	0.0289855072463768	0	0.00793650793650794	0.0151515151515152	0.0873015873015873	1.12222222222222
ptprua	1.47051170554008e-28	1.19723769930609	0.412	0.079	2.86779192814427e-24	0.101449275362319	0.17910447761194	0.150793650793651	0.106060606060606	2.44444444444444	0.411111111111111
sema3ab	3.0696399671517e-27	0.798655170423122	0.347	0.048	5.98641186393925e-23	0.0144927536231884	0.0149253731343284	0.253968253968254	0.00757575757575758	1.46825396825397	0.0333333333333333
cyp26c1	3.98785328250268e-27	1.27230064828012	0.671	0.289	7.77711147153672e-23	0.695652173913043	1.38805970149254	0.301587301587302	0.818181818181818	1.8015873015873	5.46666666666666
ackr3b	4.03279699572319e-25	0.96690174856471	0.644	0.295	7.86476070105936e-21	0.318840579710145	0.313432835820895	0.809523809523809	0.371212121212121	2.57142857142857	0.855555555555555
dclk2a	1.1733734887316e-24	0.793585985221103	0.56	0.19	2.28831297772436e-20	0.27536231884058	0.17910447761194	0.547619047619048	0.257575757575758	1.17460317460317	1.46666666666667
abcc8	6.34656839358226e-24	0.455549694897483	0.25	0.018	1.23770776811641e-19	0	0.0149253731343284	0.0317460317460317	0.0303030303030303	0.206349206349206	0.7
